sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,2,1,-1,-1,0.05,0.05,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.1,0.1,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.15,0.15,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.2,0.2,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.25,0.25,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.3,0.3,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.35,0.35,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.4,0.4,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.45,0.45,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.5,0.5,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.55,0.55,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.6,0.6,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.65,0.65,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.7,0.7,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.75,0.75,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.8,0.8,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.85,0.85,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.9,0.9,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.95,0.95,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,1.0,1.0,0.05,0.05,0.0,1.0
-1,2,1,-1,-1,0.05,0.05,0.1,0.05,0.0,0.99899
-1,2,1,-1,-1,0.1,0.1,0.1,0.05,0.0,0.99798
-1,2,1,-1,-1,0.15,0.15,0.1,0.05,0.0,0.996844
-1,2,1,-1,-1,0.2,0.2,0.1,0.05,0.0,0.996086
-1,2,1,-1,-1,0.25,0.25,0.1,0.05,0.0,0.995076
-1,2,1,-1,-1,0.3,0.3,0.1,0.05,0.0,0.994319
-1,2,1,-1,-1,0.35,0.35,0.1,0.05,0.0,0.993877
-1,2,1,-1,-1,0.4,0.4,0.1,0.05,0.0,0.992804
-1,2,1,-1,-1,0.45,0.45,0.1,0.05,0.0,0.992173
-1,2,1,-1,-1,0.5,0.5,0.1,0.05,0.0,0.991541
-1,2,1,-1,-1,0.55,0.55,0.1,0.05,0.0,0.990973
-1,2,1,-1,-1,0.6,0.6,0.1,0.05,0.0,0.990216
-1,2,1,-1,-1,0.65,0.65,0.1,0.05,0.0,0.989837
-1,2,1,-1,-1,0.7,0.7,0.1,0.05,0.0,0.989458
-1,2,1,-1,-1,0.75,0.75,0.1,0.05,0.0,0.989206
-1,2,1,-1,-1,0.8,0.8,0.1,0.05,0.0,0.989016
-1,2,1,-1,-1,0.85,0.85,0.1,0.05,0.0,0.98889
-1,2,1,-1,-1,0.9,0.9,0.1,0.05,0.0,0.988827
-1,2,1,-1,-1,0.95,0.95,0.1,0.05,0.0,0.988764
-1,2,1,-1,-1,1.0,1.0,0.1,0.05,0.0,0.988764
-1,2,1,-1,-1,0.05,0.05,0.15,0.05,0.0,0.99798
-1,2,1,-1,-1,0.1,0.1,0.15,0.05,0.0,0.99596
-1,2,1,-1,-1,0.15,0.15,0.15,0.05,0.0,0.993688
-1,2,1,-1,-1,0.2,0.2,0.15,0.05,0.0,0.992173
-1,2,1,-1,-1,0.25,0.25,0.15,0.05,0.0,0.990153
-1,2,1,-1,-1,0.3,0.3,0.15,0.05,0.0,0.988638
-1,2,1,-1,-1,0.35,0.35,0.15,0.05,0.0,0.987754
-1,2,1,-1,-1,0.4,0.4,0.15,0.05,0.0,0.985608
-1,2,1,-1,-1,0.45,0.45,0.15,0.05,0.0,0.984345
-1,2,1,-1,-1,0.5,0.5,0.15,0.05,0.0,0.983083
-1,2,1,-1,-1,0.55,0.55,0.15,0.05,0.0,0.981947
-1,2,1,-1,-1,0.6,0.6,0.15,0.05,0.0,0.980432
-1,2,1,-1,-1,0.65,0.65,0.15,0.05,0.0,0.979674
-1,2,1,-1,-1,0.7,0.7,0.15,0.05,0.0,0.978917
-1,2,1,-1,-1,0.75,0.75,0.15,0.05,0.0,0.978412
-1,2,1,-1,-1,0.8,0.8,0.15,0.05,0.0,0.978033
-1,2,1,-1,-1,0.85,0.85,0.15,0.05,0.0,0.97778
-1,2,1,-1,-1,0.9,0.9,0.15,0.05,0.0,0.977654
-1,2,1,-1,-1,0.95,0.95,0.15,0.05,0.0,0.977528
-1,2,1,-1,-1,1.0,1.0,0.15,0.05,0.0,0.977528
-1,2,1,-1,-1,0.05,0.05,0.2,0.05,0.0,0.995455
-1,2,1,-1,-1,0.1,0.1,0.2,0.05,0.0,0.99091
-1,2,1,-1,-1,0.15,0.15,0.2,0.05,0.0,0.985797
-1,2,1,-1,-1,0.2,0.2,0.2,0.05,0.0,0.982388
-1,2,1,-1,-1,0.25,0.25,0.2,0.05,0.0,0.977844
-1,2,1,-1,-1,0.3,0.3,0.2,0.05,0.0,0.974435
-1,2,1,-1,-1,0.35,0.35,0.2,0.05,0.0,0.972447
-1,2,1,-1,-1,0.4,0.4,0.2,0.05,0.0,0.967618
-1,2,1,-1,-1,0.45,0.45,0.2,0.05,0.0,0.964777
-1,2,1,-1,-1,0.5,0.5,0.2,0.05,0.0,0.961936
-1,2,1,-1,-1,0.55,0.55,0.2,0.05,0.0,0.95938
-1,2,1,-1,-1,0.6,0.6,0.2,0.05,0.0,0.955971
-1,2,1,-1,-1,0.65,0.65,0.2,0.05,0.0,0.954267
-1,2,1,-1,-1,0.7,0.7,0.2,0.05,0.0,0.952563
-1,2,1,-1,-1,0.75,0.75,0.2,0.05,0.0,0.951426
-1,2,1,-1,-1,0.8,0.8,0.2,0.05,0.0,0.950574
-1,2,1,-1,-1,0.85,0.85,0.2,0.05,0.0,0.950006
-1,2,1,-1,-1,0.9,0.9,0.2,0.05,0.0,0.949722
-1,2,1,-1,-1,0.95,0.95,0.2,0.05,0.0,0.949438
-1,2,1,-1,-1,1.0,1.0,0.2,0.05,0.0,0.949438
-1,2,1,-1,-1,0.05,0.05,0.25,0.05,0.0,0.991415
-1,2,1,-1,-1,0.1,0.1,0.25,0.05,0.0,0.98283
-1,2,1,-1,-1,0.15,0.15,0.25,0.05,0.0,0.973172
-1,2,1,-1,-1,0.2,0.2,0.25,0.05,0.0,0.966734
-1,2,1,-1,-1,0.25,0.25,0.25,0.05,0.0,0.958149
-1,2,1,-1,-1,0.3,0.3,0.25,0.05,0.0,0.95171
-1,2,1,-1,-1,0.35,0.35,0.25,0.05,0.0,0.947955
-1,2,1,-1,-1,0.4,0.4,0.25,0.05,0.0,0.938833
-1,2,1,-1,-1,0.45,0.45,0.25,0.05,0.0,0.933468
-1,2,1,-1,-1,0.5,0.5,0.25,0.05,0.0,0.928102
