sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,2,1,-1,-1,0.05,0.05,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.1,0.1,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.15,0.15,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.2,0.2,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.25,0.25,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.3,0.3,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.35,0.35,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.4,0.4,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.45,0.45,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.5,0.5,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.55,0.55,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.6,0.6,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.65,0.65,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.7,0.7,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.75,0.75,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.8,0.8,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.85,0.85,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.9,0.9,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.95,0.95,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,1.0,1.0,0.05,0.05,0.000304,0.982529
-1,2,1,-1,-1,0.05,0.05,0.1,0.05,0.000344,0.977448
-1,2,1,-1,-1,0.1,0.1,0.1,0.05,0.000408,0.973964
-1,2,1,-1,-1,0.15,0.15,0.1,0.05,0.00047,0.971046
-1,2,1,-1,-1,0.2,0.2,0.1,0.05,0.00055,0.968042
-1,2,1,-1,-1,0.25,0.25,0.1,0.05,0.000639,0.965261
-1,2,1,-1,-1,0.3,0.3,0.1,0.05,0.000723,0.962652
-1,2,1,-1,-1,0.35,0.35,0.1,0.05,0.000824,0.960163
-1,2,1,-1,-1,0.4,0.4,0.1,0.05,0.000949,0.957297
-1,2,1,-1,-1,0.45,0.45,0.1,0.05,0.001107,0.954516
-1,2,1,-1,-1,0.5,0.5,0.1,0.05,0.00129,0.951958
-1,2,1,-1,-1,0.55,0.55,0.1,0.05,0.001453,0.950122
-1,2,1,-1,-1,0.6,0.6,0.1,0.05,0.001612,0.948354
-1,2,1,-1,-1,0.65,0.65,0.1,0.05,0.001762,0.946672
-1,2,1,-1,-1,0.7,0.7,0.1,0.05,0.001946,0.945075
-1,2,1,-1,-1,0.75,0.75,0.1,0.05,0.002116,0.943702
-1,2,1,-1,-1,0.8,0.8,0.1,0.05,0.002299,0.942346
-1,2,1,-1,-1,0.85,0.85,0.1,0.05,0.002481,0.941145
-1,2,1,-1,-1,0.9,0.9,0.1,0.05,0.002656,0.940132
-1,2,1,-1,-1,0.95,0.95,0.1,0.05,0.002892,0.939136
-1,2,1,-1,-1,1.0,1.0,0.1,0.05,0.003953,0.937334
-1,2,1,-1,-1,0.05,0.05,0.15,0.05,0.000444,0.971129
-1,2,1,-1,-1,0.1,0.1,0.15,0.05,0.000669,0.963311
-1,2,1,-1,-1,0.15,0.15,0.15,0.05,0.000886,0.956764
-1,2,1,-1,-1,0.2,0.2,0.15,0.05,0.001166,0.950024
-1,2,1,-1,-1,0.25,0.25,0.15,0.05,0.001477,0.943785
-1,2,1,-1,-1,0.3,0.3,0.15,0.05,0.001772,0.937931
-1,2,1,-1,-1,0.35,0.35,0.15,0.05,0.002125,0.932346
-1,2,1,-1,-1,0.4,0.4,0.15,0.05,0.00256,0.925915
-1,2,1,-1,-1,0.45,0.45,0.15,0.05,0.003115,0.919676
-1,2,1,-1,-1,0.5,0.5,0.15,0.05,0.003756,0.913937
-1,2,1,-1,-1,0.55,0.55,0.15,0.05,0.004326,0.909816
-1,2,1,-1,-1,0.6,0.6,0.15,0.05,0.004882,0.905849
-1,2,1,-1,-1,0.65,0.65,0.15,0.05,0.005406,0.902075
-1,2,1,-1,-1,0.7,0.7,0.15,0.05,0.00605,0.898493
-1,2,1,-1,-1,0.75,0.75,0.15,0.05,0.006644,0.895412
-1,2,1,-1,-1,0.8,0.8,0.15,0.05,0.007285,0.89237
-1,2,1,-1,-1,0.85,0.85,0.15,0.05,0.007922,0.889674
-1,2,1,-1,-1,0.9,0.9,0.15,0.05,0.008535,0.887402
-1,2,1,-1,-1,0.95,0.95,0.15,0.05,0.009362,0.885168
-1,2,1,-1,-1,1.0,1.0,0.15,0.05,0.013074,0.881124
-1,2,1,-1,-1,0.05,0.05,0.2,0.05,0.000587,0.964426
-1,2,1,-1,-1,0.1,0.1,0.2,0.05,0.001043,0.95201
-1,2,1,-1,-1,0.15,0.15,0.2,0.05,0.001483,0.941613
-1,2,1,-1,-1,0.2,0.2,0.2,0.05,0.002048,0.93091
-1,2,1,-1,-1,0.25,0.25,0.2,0.05,0.002677,0.921002
-1,2,1,-1,-1,0.3,0.3,0.2,0.05,0.003274,0.911706
-1,2,1,-1,-1,0.35,0.35,0.2,0.05,0.003989,0.902838
-1,2,1,-1,-1,0.4,0.4,0.2,0.05,0.004869,0.892624
-1,2,1,-1,-1,0.45,0.45,0.2,0.05,0.005993,0.882717
-1,2,1,-1,-1,0.5,0.5,0.2,0.05,0.00729,0.873604
-1,2,1,-1,-1,0.55,0.55,0.2,0.05,0.008445,0.86706
-1,2,1,-1,-1,0.6,0.6,0.2,0.05,0.009568,0.86076
-1,2,1,-1,-1,0.65,0.65,0.2,0.05,0.010629,0.854767
-1,2,1,-1,-1,0.7,0.7,0.2,0.05,0.011933,0.849079
-1,2,1,-1,-1,0.75,0.75,0.2,0.05,0.013136,0.844186
-1,2,1,-1,-1,0.8,0.8,0.2,0.05,0.014432,0.839355
-1,2,1,-1,-1,0.85,0.85,0.2,0.05,0.015721,0.835073
-1,2,1,-1,-1,0.9,0.9,0.2,0.05,0.016962,0.831465
-1,2,1,-1,-1,0.95,0.95,0.2,0.05,0.018636,0.827918
-1,2,1,-1,-1,1.0,1.0,0.2,0.05,0.026148,0.821496
-1,2,1,-1,-1,0.05,0.05,0.25,0.05,0.000773,0.956612
-1,2,1,-1,-1,0.1,0.1,0.25,0.05,0.001529,0.938838
-1,2,1,-1,-1,0.15,0.15,0.25,0.05,0.002259,0.923954
-1,2,1,-1,-1,0.2,0.2,0.25,0.05,0.003198,0.908632
-1,2,1,-1,-1,0.25,0.25,0.25,0.05,0.00424,0.894448
-1,2,1,-1,-1,0.3,0.3,0.25,0.05,0.005231,0.881139
-1,2,1,-1,-1,0.35,0.35,0.25,0.05,0.006417,0.868443
