source csv,EER,FAR,FRR,sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold
results\20\sbi\cascade_threshold_sweep_sbi_celebdf.csv,0.267994,0.238235,0.297753,1,-1,-1,0.55,0.55,-1,-1,-1,-1
results\20\sbi\cascade_threshold_sweep_sbi_combined.csv,0.314378,0.285801,0.342955,1,-1,-1,0.15,0.15,-1,-1,-1,-1
results\20\sbi\cascade_threshold_sweep_sbi_dfdc.csv,0.334203,0.359983,0.308423,1,-1,-1,0.15,0.15,-1,-1,-1,-1
results\20\sbi\cascade_threshold_sweep_sbi_faceforensics.csv,0.200893,0.194643,0.207143,1,-1,-1,0.2,0.2,-1,-1,-1,-1
results\20\sbi\threshold_sweep_sbi_celebdf.csv,0.267994,0.238235,0.297753,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\sbi\threshold_sweep_sbi_combined.csv,0.314378,0.285801,0.342955,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\sbi\threshold_sweep_sbi_dfdc.csv,0.334203,0.359983,0.308423,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\sbi\threshold_sweep_sbi_faceforensics.csv,0.200893,0.194643,0.207143,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\sbi_ucf\cascade_threshold_sweep_sbi_ucf_celebdf.csv,0.24747,0.24756,0.24738,1,2,-1,0.6,0.55,0.4,0.4,-1,-1
results\20\sbi_ucf\cascade_threshold_sweep_sbi_ucf_combined.csv,0.2936955,0.293813,0.293578,1,2,-1,0.45,0.15,0.1,0.1,-1,-1
results\20\sbi_ucf\cascade_threshold_sweep_sbi_ucf_dfdc.csv,0.305034,0.304626,0.305442,1,2,-1,0.5,0.1,0.2,0.2,-1,-1
results\20\sbi_ucf\cascade_threshold_sweep_sbi_ucf_faceforensics.csv,0.194828,0.194758,0.194898,1,2,-1,0.3,0.2,0.05,0.05,-1,-1
results\20\sbi_ucf_xception\cascade_threshold_sweep_sbi_ucf_xception_celebdf.csv,0.247379,0.247378,0.24738,1,2,3,0.6,0.55,0.4,0.3,0.85,0.85
results\20\sbi_ucf_xception\cascade_threshold_sweep_sbi_ucf_xception_combined.csv,0.292133,0.292133,0.292133,1,2,3,0.35,0.15,0.45,0.1,0.15,0.15
results\20\sbi_ucf_xception\cascade_threshold_sweep_sbi_ucf_xception_dfdc.csv,0.322398,0.322396,0.3224,1,2,3,0.15,0.1,0.8,0.65,0.8,0.8
results\20\sbi_ucf_xception\cascade_threshold_sweep_sbi_ucf_xception_faceforensics.csv,0.1412555,0.141256,0.141255,1,2,3,0.3,0.15,0.9,0.65,0.45,0.45
results\20\sbi_xception\cascade_threshold_sweep_sbi_xception_celebdf.csv,0.2462045,0.246228,0.246181,1,-1,2,0.75,0.55,-1,-1,0.35,0.35
results\20\sbi_xception\cascade_threshold_sweep_sbi_xception_combined.csv,0.283555,0.283611,0.283499,1,-1,2,0.2,0.1,-1,-1,0.65,0.65
results\20\sbi_xception\cascade_threshold_sweep_sbi_xception_dfdc.csv,0.311492,0.31017,0.312814,1,-1,2,0.2,0.1,-1,-1,0.45,0.45
results\20\sbi_xception\cascade_threshold_sweep_sbi_xception_faceforensics.csv,0.1072925,0.107289,0.107296,1,-1,2,0.7,0.1,-1,-1,0.5,0.5
results\20\sbi_xception_ucf\cascade_threshold_sweep_sbi_xception_ucf_celebdf.csv,0.188148,0.188148,0.188148,1,3,2,0.75,0.15,0.85,0.85,0.6,0.5
results\20\sbi_xception_ucf\cascade_threshold_sweep_sbi_xception_ucf_combined.csv,0.233779,0.233778,0.23378,1,3,2,0.45,0.05,0.7,0.7,0.55,0.4
results\20\sbi_xception_ucf\cascade_threshold_sweep_sbi_xception_ucf_dfdc.csv,0.294114,0.294114,0.294114,1,3,2,0.35,0.1,0.3,0.3,0.55,0.15
results\20\sbi_xception_ucf\cascade_threshold_sweep_sbi_xception_ucf_faceforensics.csv,0.054556,0.054556,0.054556,1,3,2,0.95,0.05,0.8,0.8,0.65,0.35
results\20\ucf\cascade_threshold_sweep_ucf_celebdf.csv,0.2869795,0.270588,0.303371,-1,1,-1,-1,-1,0.45,0.45,-1,-1
results\20\ucf\cascade_threshold_sweep_ucf_combined.csv,0.298968,0.314989,0.282947,-1,1,-1,-1,-1,0.55,0.55,-1,-1
results\20\ucf\cascade_threshold_sweep_ucf_dfdc.csv,0.3292235,0.320218,0.338229,-1,1,-1,-1,-1,0.5,0.5,-1,-1
results\20\ucf\cascade_threshold_sweep_ucf_faceforensics.csv,0.0526785,0.055357,0.05,-1,1,-1,-1,-1,0.8,0.8,-1,-1
results\20\ucf\threshold_sweep_ucf_celebdf.csv,0.2869795,0.270588,0.303371,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\ucf\threshold_sweep_ucf_combined.csv,0.298968,0.314989,0.282947,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\ucf\threshold_sweep_ucf_dfdc.csv,0.3292235,0.320218,0.338229,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\ucf\threshold_sweep_ucf_faceforensics.csv,0.0526785,0.055357,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\ucf_sbi\cascade_threshold_sweep_ucf_sbi_celebdf.csv,0.2058915,0.205969,0.205814,2,1,-1,0.6,0.6,0.7,0.15,-1,-1
results\20\ucf_sbi\cascade_threshold_sweep_ucf_sbi_combined.csv,0.2837775,0.283845,0.28371,2,1,-1,0.9,0.9,0.55,0.25,-1,-1
results\20\ucf_sbi\cascade_threshold_sweep_ucf_sbi_dfdc.csv,0.29458,0.294609,0.294551,2,1,-1,0.4,0.4,0.6,0.2,-1,-1
results\20\ucf_sbi\cascade_threshold_sweep_ucf_sbi_faceforensics.csv,0.045507,0.045504,0.04551,2,1,-1,0.65,0.65,0.85,0.55,-1,-1
results\20\ucf_sbi_xception\cascade_threshold_sweep_ucf_sbi_xception_celebdf.csv,0.222927,0.222927,0.222927,2,1,3,0.9,0.15,0.8,0.35,0.45,0.45
results\20\ucf_sbi_xception\cascade_threshold_sweep_ucf_sbi_xception_combined.csv,0.2452485,0.245249,0.245248,2,1,3,0.5,0.35,0.65,0.2,0.55,0.55
results\20\ucf_sbi_xception\cascade_threshold_sweep_ucf_sbi_xception_dfdc.csv,0.2890695,0.289069,0.28907,2,1,3,0.65,0.25,0.6,0.2,0.5,0.5
results\20\ucf_sbi_xception\cascade_threshold_sweep_ucf_sbi_xception_faceforensics.csv,0.043222,0.043222,0.043222,2,1,3,0.45,0.3,0.95,0.15,0.7,0.7
