Threshold,FAR,FAR_fitted,FRR,FRR_fitted
0.001,0.0,0.2445682739962649,1.0,0.9247423513954024
0.002,0.0,0.24537706710179918,0.99784,0.9180838338966522
0.003,0.000419,0.24618586028555,0.991361,0.9114740416329963
0.004,0.002093,0.24699465354751737,0.983585,0.9049126180463067
0.005,0.005023,0.24780344688952027,0.974514,0.8983992091876517
0.006,0.007953,0.24861224030973972,0.965443,0.8919334636982021
0.007,0.009209,0.24942103380635672,0.957235,0.8855150327902781
0.008,0.012139,0.25022982738300925,0.950756,0.8791435702285341
0.009,0.01465,0.25103862103605934,0.939525,0.8728187323112809
0.01,0.018418,0.25184741476914496,0.929158,0.8665401778519463
0.011,0.022604,0.2526562085822661,0.915767,0.8603075681606686
0.012,0.026371,0.25346500246996584,0.904104,0.8541205670260278
0.013,0.030138,0.2542737964377011,0.8946,0.8479788406969082
0.014,0.033487,0.2550825904836529,0.886825,0.8418820578644944
0.015,0.037254,0.2558913846096402,0.877754,0.8358298896444003
0.016,0.041021,0.2567001788120251,0.867387,0.8298220095589262
0.017,0.045207,0.25750897309262655,0.858315,0.8238580935194486
0.018,0.048556,0.2583177674532635,0.850108,0.8179378198089372
0.019,0.051067,0.25912656189029803,0.836717,0.8120608690645998
0.02,0.054835,0.2599353564073681,0.832829,0.8062269242606553
0.021,0.057765,0.2607441510044737,0.82419,0.8004356706912316
0.022,0.062369,0.26155294567615783,0.813823,0.7946867959533893
0.023,0.066974,0.2623617404278775,0.806911,0.7889799899302696
0.024,0.070322,0.26317053525781375,0.798272,0.783314944774365
0.025,0.073671,0.26397933016596653,0.789201,0.7776913548909131
0.026,0.077438,0.26478812515233585,0.785313,0.7721089169214117
0.027,0.080368,0.2655969202187407,0.779266,0.7665673297272538
0.028,0.083717,0.2664057153615431,0.771058,0.7610662943734844
0.029,0.087484,0.26721451058256207,0.765011,0.755605514112673
0.03,0.090414,0.26802330588361656,0.756371,0.7501846943689071
0.031,0.092089,0.2688321012610686,0.748164,0.7448035427219014
0.032,0.095856,0.26964089672037517,0.741253,0.7394617688912232
0.033,0.10046,0.2704496922542603,0.732181,0.7341590847206336
0.034,0.102135,0.27125848786818096,0.724406,0.7288952041625437
0.035,0.103391,0.2720672835584992,0.715335,0.7236698432625835
0.036,0.106739,0.27287607933067193,0.708855,0.7184827201442844
0.037,0.110506,0.2736848751792422,0.703672,0.7133335549938736
0.038,0.113018,0.27449367110602907,0.69676,0.7082220700451807
0.039,0.115948,0.27530246711103246,0.689849,0.7031479895646525
0.04,0.11846,0.2761112631960714,0.681641,0.6981110398364799
0.041,0.123064,0.27692005935932684,0.67473,0.6931109491478323
0.042,0.12725,0.27772885559897986,0.668683,0.6881474477742002
0.043,0.130599,0.2785376519186684,0.662203,0.6832202679648454
0.044,0.133529,0.2793464483147545,0.656587,0.6783291439283571
0.045,0.135622,0.28015524479087617,0.649244,0.6734738118183146
0.046,0.141063,0.28096404134521435,0.644924,0.6686540097190542
0.047,0.142738,0.2817728379795881,0.637581,0.6638694776315404
0.048,0.144412,0.28258163468854036,0.633261,0.6591199574593402
0.049,0.146086,0.28339043147934717,0.628078,0.654405192994701
0.05,0.148598,0.28419922834473255,0.623758,0.6497249299047293
0.051,0.151109,0.28500802529197244,0.620302,0.6450789157176711
0.052,0.153202,0.2858168223156099,0.614687,0.6404668998092926
0.053,0.154877,0.2866256194192829,0.610367,0.6358886333893606
0.054,0.156132,0.2874344165993534,0.604752,0.6313438694882217
0.055,0.159062,0.2882432138594595,0.600432,0.6268323629434799
0.056,0.161992,0.2890520111977821,0.594816,0.6223538703867711
0.057,0.164085,0.2898608086143213,0.589201,0.617908150230636
0.058,0.167015,0.290669606109077,0.584449,0.6134949626554863
0.059,0.168271,0.29147840368204925,0.58013,0.6091140695966694
0.06,0.172039,0.29228720133505703,0.575378,0.604765234731625
0.061,0.174969,0.2930959990626434,0.56933,0.6004482234671386
0.062,0.178317,0.2939047968702653,0.564147,0.5961628029266841
0.063,0.181666,0.2947135947579227,0.559827,0.5919087419378646
0.064,0.185852,0.29552239272197767,0.556371,0.587685811019939
0.065,0.189201,0.2963311907660682,0.552484,0.5834937823714454
0.066,0.192968,0.29713998888655624,0.549892,0.5793324298579111
0.067,0.197154,0.2979487870888988,0.548596,0.5752015289996546
0.068,0.199247,0.29875758536582,0.542981,0.5711008569596759
0.069,0.200084,0.29956638372277666,0.538661,0.5670301925316366
0.07,0.200502,0.3003751821579499,0.533477,0.562989316127926
0.071,0.202595,0.30118398067133967,0.530022,0.5589780097678169
0.072,0.203851,0.301992779262946,0.524838,0.5549960570657057
0.073,0.206362,0.30280157793276885,0.521382,0.5510432432194405
0.074,0.208037,0.30361037668262725,0.517063,0.5471193549987341
0.075,0.211804,0.3044191755107022,0.512311,0.5432241807336602
0.076,0.214734,0.3052279744151747,0.509719,0.5393575103032364
0.077,0.216409,0.3060367733996827,0.507559,0.535519135124089
0.078,0.21892,0.3068455724605883,0.503672,0.531708848139201
0.079,0.220176,0.30765437159971043,0.49676,0.5279264438067429
0.08,0.222687,0.3084631708206871,0.492873,0.5241717180889848
0.081,0.223943,0.3092719701180613,0.490713,0.5204444684412899
0.082,0.226455,0.31008076949365204,0.485961,0.5167444938011884
0.083,0.229385,0.31088956894745934,0.48121,0.5130715945775315
0.084,0.231059,0.3116983684794832,0.477754,0.5094255726397245
0.085,0.233152,0.31250716808972356,0.475162,0.5058062313070393
0.086,0.235663,0.3133159677799995,0.469978,0.5022133753380037
0.087,0.239431,0.31412476754667296,0.466091,0.4986468109198702
0.088,0.241524,0.314933567391563,0.463931,0.49510634565816086
0.089,0.245291,0.3157423673164885,0.460475,0.4915917885662886
0.09,0.246965,0.3165511673196306,0.456587,0.4881029500552545
0.091,0.249058,0.31735996740098926,0.453132,0.48463964192342096
0.092,0.253663,0.31816876755874546,0.44838,0.4812016773463592
0.093,0.254918,0.3189775677965372,0.447084,0.4777888708667711
0.094,0.25743,0.31978636811254546,0.443197,0.47440103838448494
0.095,0.258267,0.32059516850858927,0.439309,0.47103799714652483
0.096,0.259523,0.32140396898103063,0.433693,0.4676995657372514
0.097,0.259941,0.32221276953168854,0.431533,0.4643855640685763
0.098,0.261197,0.323021570160563,0.42851,0.46109581337024697
0.099,0.264127,0.32383037086947297,0.425054,0.4578301361802036
0.1,0.266639,0.3246391716565995,0.421598,0.4545883563350057
0.101,0.269987,0.3254479725201236,0.419006,0.4513702989603294
0.102,0.271662,0.3262567734655022,0.416847,0.448175790461534
0.103,0.273336,0.32706557448545936,0.414255,0.4450046585142974
0.104,0.27501,0.32787437558545207,0.409503,0.44185673205532044
0.105,0.277103,0.3286831767636613,0.407343,0.43873184127309933
0.106,0.278778,0.3294919780200871,0.406048,0.4356298175987647
0.107,0.280871,0.33030077935654845,0.4,0.43255049369698884
0.108,0.282545,0.33110958076940733,0.398704,0.42949370345695886
0.109,0.284219,0.33191838225866377,0.396976,0.426459281983416
0.11,0.285057,0.33272718382977473,0.394816,0.42344706558776046
0.111,0.287568,0.33353598547728325,0.393089,0.4204568917792216
0.112,0.289661,0.3343447872066463,0.391793,0.4174885992560921
0.113,0.29301,0.3351535890105879,0.389633,0.4145420278970275
0.114,0.295521,0.33596239089274604,0.386609,0.41161701875240764
0.115,0.297614,0.3367711928567587,0.384881,0.4087134140357632
0.116,0.297614,0.33757999489534996,0.382289,0.40583105711526357
0.117,0.302219,0.3383887970157957,0.380562,0.40296979250526754
0.118,0.303893,0.33919759921263903,0.377106,0.400129465857936
0.119,0.306404,0.3400064014876989,0.372786,0.39730992395490555
0.12,0.308497,0.3408152038409753,0.370626,0.39451101469902355
0.121,0.309753,0.34162400627246825,0.36933,0.3917325871061434
0.122,0.312683,0.34243280878399673,0.367171,0.3889744912969795
0.123,0.314776,0.3432416113719228,0.364579,0.3862365784890227
0.124,0.31645,0.34405041403988434,0.363283,0.3835187009885139
0.125,0.318543,0.34485921678606246,0.359395,0.3808207121824773
0.126,0.321055,0.3456680196104571,0.356371,0.3781424665308112
0.127,0.321892,0.3464768225130683,0.354212,0.375483819558437
0.128,0.323148,0.3472856254938961,0.352916,0.372844627847506
0.129,0.326078,0.34809442855294037,0.35162,0.3702247490296624
0.13,0.326078,0.3489032316920202,0.349028,0.3676240417783639
0.131,0.326915,0.3497120349056786,0.3473,0.3650423658012574
0.132,0.328589,0.3505208382011915,0.343844,0.3624795818326116
0.133,0.329845,0.351329641573102,0.340821,0.3599355516258042
0.134,0.333612,0.352138445025048,0.337365,0.35741013794586446
0.135,0.33445,0.35294724855339155,0.336069,0.35490320456207
0.136,0.335705,0.35375605216177064,0.334773,0.3524146162405983
0.137,0.337798,0.3545648558483663,0.333909,0.34994423873723124
0.138,0.341147,0.35537365961317846,0.332613,0.34749193879011403
0.139,0.344077,0.3561824634562072,0.331317,0.3450575841125658
0.14,0.344914,0.35699126737563347,0.328726,0.34264104338594426
0.141,0.348263,0.3578000713750953,0.326998,0.34024218625256125
0.142,0.349519,0.35860887545459263,0.326566,0.33786088330865127
0.143,0.349937,0.35941767961230653,0.323974,0.33549700609739036
0.144,0.350356,0.360226483844599,0.32095,0.3331504271019673
0.145,0.351193,0.36103528815874597,0.317927,0.33082101973870426
0.146,0.352867,0.3618440925492905,0.315335,0.3285086583502285
0.147,0.35496,0.3626528970198706,0.314471,0.3262132181986947
0.148,0.355379,0.3634617015686672,0.311879,0.32393457545905463
0.149,0.357472,0.36427050619568035,0.309719,0.3216726072123787
0.15,0.359983,0.36507931089909107,0.308423,0.31942719143922516
0.151,0.362076,0.3658881156843563,0.306695,0.31719820701305707
0.152,0.362913,0.3666969205460191,0.3054,0.3149855336937093
0.153,0.364588,0.36750572548589844,0.304104,0.31278905212090163
0.154,0.365425,0.3683145305058133,0.301512,0.3106086438078002
0.155,0.367099,0.36912333560030675,0.298488,0.3084441911346257
0.156,0.367936,0.3699321407748357,0.29676,0.30629557734230883
0.157,0.368774,0.3707409460294002,0.295896,0.3041626865261916
0.158,0.370029,0.37154975136218127,0.293737,0.30204540362977506
0.159,0.371704,0.37235855677317886,0.290281,0.2999436144385127
0.16,0.372541,0.373167362262393,0.289417,0.29785720557364914
0.161,0.375471,0.3739761678280047,0.287689,0.2957860644861042
0.162,0.376308,0.3747849734736519,0.284665,0.2937300794504018
0.163,0.376727,0.3755937791975157,0.282073,0.29168913955864223
0.164,0.377564,0.376402585001415,0.280778,0.28966313471452027
0.165,0.379657,0.37721139087989286,0.27905,0.2876519556273856
0.166,0.381331,0.37802019683840626,0.276026,0.2856554938063474
0.167,0.383005,0.3788290028769552,0.275162,0.2836736415544222
0.168,0.384261,0.3796378089919017,0.273434,0.2817062919627236
0.169,0.385098,0.3804466151868837,0.271706,0.2797533389046958
0.17,0.386354,0.3812554214582633,0.27041,0.2778146770303885
0.171,0.388447,0.3820642278114974,0.27041,0.2758902017607739
0.172,0.389703,0.3828730342393101,0.269978,0.2739798092821053
0.173,0.390121,0.3836818407471583,0.268251,0.27208339654031705
0.174,0.39054,0.384490647333223,0.266955,0.2702008612354654
0.175,0.391377,0.3852994539975043,0.266091,0.26833210181620976
0.176,0.393051,0.38610826074000215,0.264795,0.2664770174743351
0.177,0.39347,0.38691706756071653,0.262635,0.26463550813931375
0.178,0.394307,0.38772587446146645,0.261771,0.262807474472907
0.179,0.396819,0.3885346814404329,0.260043,0.26099281786380646
0.18,0.398075,0.3893434884957969,0.257883,0.2591914404223151
0.181,0.401005,0.3901522956293775,0.255724,0.25740324497506606
0.182,0.403098,0.39096110284299357,0.25486,0.2556281350597808
0.183,0.404353,0.3917699101330072,0.253132,0.25386601492006605
0.184,0.406028,0.3925787175048754,0.2527,0.25211678950024785
0.185,0.408121,0.3933875249513221,0.251836,0.25038036444024386
0.186,0.411051,0.3941963324796234,0.250108,0.24865664607047364
0.187,0.412306,0.3950051400843222,0.248812,0.24694554140680522
0.188,0.413144,0.39581394776723755,0.247948,0.2452469581455398
0.189,0.414399,0.39662275552836945,0.245356,0.24356080465843175
0.19,0.414399,0.3974315633695369,0.243629,0.24188698998774644
0.191,0.417329,0.3982403712871019,0.242333,0.2402254238413533
0.192,0.418585,0.3990491792828834,0.240605,0.23857601658785538
0.193,0.419422,0.3998579873587005,0.240605,0.23693867925175396
0.194,0.420678,0.4006667955109151,0.239309,0.23531332350864909
0.195,0.422352,0.40147560374498426,0.238013,0.23369986168047494
