Threshold,FAR,FAR_fitted,FRR,FRR_fitted
0.001,0.0,0.03644212126837143,1.0,0.8233742911472145
0.002,0.0,0.037097597112431435,0.978571,0.8174665144875256
0.003,0.0,0.037753330429789456,0.971429,0.8116018567978968
0.004,0.001786,0.03840932132158259,0.95,0.805780003366773
0.005,0.001786,0.03906556988898746,0.921429,0.8000006417795784
0.006,0.003571,0.03972207623321844,0.907143,0.7942634619019506
0.007,0.003571,0.04037884045553275,0.9,0.788568155863099
0.008,0.003571,0.041035862657225364,0.878571,0.782914418039283
0.009,0.007143,0.041693142939631,0.878571,0.7773019450374119
0.01,0.007143,0.042350681404125234,0.864286,0.7717304356787643
0.011,0.007143,0.04300847815212294,0.807143,0.7661995909828255
0.012,0.007143,0.043666533285078746,0.792857,0.760709114151244
0.013,0.007143,0.044324846904487236,0.792857,0.7552587105519045
0.014,0.007143,0.04498341911188253,0.792857,0.7498480877031167
0.015,0.007143,0.045642250008838925,0.778571,0.7444769552579212
0.016,0.007143,0.046301339696971144,0.764286,0.7391450249885076
0.017,0.008929,0.046960688277933205,0.764286,0.7338520107707481
0.018,0.010714,0.04762029585341865,0.75,0.7285976285688434
0.019,0.010714,0.04828016252516165,0.742857,0.7233815964200804
0.02,0.010714,0.04894028839493658,0.728571,0.7182036344197016
0.021,0.016071,0.049600673564556885,0.728571,0.7130634647058848
0.022,0.016071,0.05026131813587709,0.721429,0.7079608114448319
0.023,0.017857,0.050922222210790125,0.7,0.702895400815968
0.024,0.017857,0.05158338589123068,0.692857,0.6978669609972464
0.025,0.019643,0.052244809279172744,0.692857,0.6928752221505625
0.026,0.019643,0.05290649247663004,0.692857,0.6879199164072738
0.027,0.021429,0.05356843558565716,0.692857,0.6830007778538253
0.028,0.021429,0.05423063870834799,0.678571,0.6781175425174794
0.029,0.021429,0.05489310194683683,0.678571,0.6732699483521516
0.03,0.021429,0.055555825403297954,0.664286,0.6684577352243477
0.031,0.025,0.05621880917994648,0.657143,0.6636806448992043
0.032,0.026786,0.056882053379036845,0.65,0.6589384210266317
