Threshold,FAR,FAR_fitted,FRR,FRR_fitted
0.001,0.0,-0.02020195210462178,1.0,0.9855043088011244
0.002,0.0,-0.019718634407152824,1.0,0.9837978588326499
0.003,0.0,-0.019234746957762117,1.0,0.9820935384749037
0.004,0.0,-0.018750289084806193,1.0,0.9803913450701796
0.005,0.0,-0.018265260115849502,1.0,0.9786912759640891
0.006,0.0,-0.017779659377664014,1.0,0.9769933285055554
0.007,0.0,-0.01729348619622806,0.999568,0.9752975000468114
0.008,0.0,-0.016806739896725376,0.999136,0.9736037879433925
0.009,0.0,-0.016319419803544177,0.998272,0.9719121895541365
0.01,0.0,-0.015831525240276312,0.99784,0.9702227022411756
0.011,0.0,-0.015343055529716099,0.994816,0.9685353233699345
0.012,0.0,-0.014854009993859885,0.993521,0.9668500503091266
0.013,0.000419,-0.014364387953904212,0.990497,0.9651668804307476
0.014,0.000837,-0.01387418873024604,0.986177,0.9634858111100744
0.015,0.001256,-0.013383411642480803,0.984881,0.9618068397256583
0.016,0.002512,-0.012892056009401853,0.98013,0.9601299636593226
0.017,0.002512,-0.012400121148999632,0.974082,0.9584551802961583
0.018,0.002512,-0.011907606378460667,0.969762,0.9567824870245192
0.019,0.002512,-0.01141451101416635,0.966739,0.9551118812360189
0.02,0.002512,-0.0109208343716925,0.961987,0.9534433603255257
0.021,0.002512,-0.010426575765807633,0.957667,0.9517769216911593
0.022,0.002512,-0.009931734510473078,0.956371,0.9501125627342868
0.023,0.002512,-0.009436309918840924,0.954644,0.9484502808595177
0.024,0.00293,-0.008940301303254072,0.952916,0.946790073474701
0.025,0.003349,-0.008443707975244186,0.94946,0.9451319379909202
0.026,0.003349,-0.007946529245531797,0.947732,0.94347587182249
0.027,0.003767,-0.007448764424024923,0.945572,0.9418218723869523
0.028,0.003767,-0.006950412819817786,0.944276,0.9401699371050709
0.029,0.004604,-0.006451473741190206,0.941253,0.9385200634008295
0.03,0.005023,-0.005951946495606819,0.939093,0.9368722487014258
0.031,0.005442,-0.0054518303897155285,0.935637,0.9352264904372691
0.032,0.005442,-0.004951124729347167,0.932181,0.9335827860419743
0.033,0.00586,-0.004449828819514168,0.926998,0.9319411329523604
0.034,0.007116,-0.003947941964409563,0.924406,0.9303015286084442
0.035,0.007535,-0.0034454634674064843,0.922678,0.9286639704534378
0.036,0.009209,-0.002942392631056334,0.92095,0.9270284559337441
0.037,0.009627,-0.002438728757088948,0.917495,0.9253949824989527
0.038,0.009627,-0.0019344711464104325,0.914039,0.923763547601836
0.039,0.009627,-0.0014296190991031077,0.913607,0.9221341486983454
0.04,0.010046,-0.0009241719144242322,0.911015,0.9205067832476075
0.041,0.011302,-0.0004181288908048364,0.909287,0.918881448711919
0.042,0.011302,8.851067415094338e-05,0.905832,0.9172581425567445
0.043,0.012139,0.0005957474836670862,0.901512,0.9156368622507114
0.044,0.012976,0.001103582241796519,0.899352,0.9140176052656057
0.045,0.012976,0.0016120156534221164,0.89892,0.9124003690763689
0.046,0.012976,0.002121048424257699,0.89676,0.910785151161094
0.047,0.013395,0.002630681260848977,0.893737,0.909171949001021
0.048,0.014232,0.003140914870574607,0.891577,0.9075607600805331
0.049,0.014232,0.0036517499616472437,0.890713,0.9059515818871535
0.05,0.014232,0.0041631872431140415,0.889417,0.90434441191154
0.051,0.015069,0.004675227424858486,0.887257,0.9027392476474829
0.052,0.015488,0.005187871217600393,0.885097,0.9011360865918998
0.053,0.015906,0.005701119332897853,0.882937,0.899534926244832
0.054,0.015906,0.006214972483147563,0.881641,0.8979357641094408
0.055,0.015906,0.006729431381585993,0.879914,0.8963385976920033
0.056,0.016325,0.0072444967422904405,0.878618,0.8947434245019092
0.057,0.016743,0.007760169280180029,0.876458,0.8931502420516562
0.058,0.016743,0.008276449711016542,0.87473,0.891559047856846
0.059,0.017162,0.008793338751405533,0.873866,0.8899698394361815
0.06,0.017581,0.009310837118797433,0.873002,0.888382614311461
0.061,0.017581,0.009828945531488498,0.871706,0.8867973700075771
0.062,0.017581,0.010347664708621473,0.869546,0.8852141040525099
0.063,0.018418,0.010866995370187038,0.867819,0.8836328139773255
0.064,0.018418,0.011386938237024524,0.865659,0.8820534973161704
0.065,0.018836,0.01190749403082314,0.863931,0.8804761516062691
0.066,0.019255,0.012428663474122637,0.860907,0.8789007743879194
0.067,0.019255,0.012950447290314804,0.860475,0.877327363204488
0.068,0.019255,0.013472846203643973,0.859611,0.8757559156024086
0.069,0.020092,0.013995860939208349,0.857019,0.8741864291311763
0.07,0.020929,0.014519492222960784,0.85486,0.8726189013433443
0.071,0.021348,0.015043740781710058,0.8527,0.8710533297945202
0.072,0.021766,0.01556860734312171,0.85054,0.8694897120433627
0.073,0.022604,0.016094092635718926,0.850108,0.8679280456515763
0.074,0.023022,0.01662019738888404,0.849244,0.866368328183909
0.075,0.023859,0.01714692233285875,0.847516,0.8648105572081479
0.076,0.023859,0.01767426819874579,0.845356,0.8632547302951155
0.077,0.023859,0.018202235718510096,0.844492,0.8617008450186656
0.078,0.024697,0.018730825624978853,0.842765,0.86014889895568
0.079,0.025534,0.019260038651843392,0.840605,0.8585988896860646
0.08,0.025952,0.01978987553366024,0.838013,0.8570508147927449
0.081,0.026789,0.020320337005851452,0.837149,0.8555046718616639
0.082,0.028045,0.020851423804706115,0.834989,0.8539604584817762
0.083,0.028464,0.021383136667381397,0.834989,0.8524181722450457
0.084,0.028464,0.021915476331903216,0.834125,0.8508778107464423
0.085,0.029301,0.02244844353716796,0.833261,0.8493393715839361
0.086,0.030138,0.02298203902294249,0.831102,0.8478028523584953
0.087,0.030975,0.023516263529866077,0.830238,0.8462682506740824
0.088,0.030975,0.02405111779945096,0.82851,0.8447355641376497
0.089,0.030975,0.024586602574083627,0.825918,0.8432047903591362
0.09,0.031394,0.025122718597025584,0.82419,0.8416759269514638
0.091,0.031812,0.02565946661241464,0.82419,0.8401489715305324
0.092,0.03265,0.026196847365265674,0.823326,0.8386239217152187
0.093,0.033068,0.02673486160147176,0.821598,0.83710077512737
0.094,0.033905,0.02727351006780565,0.819006,0.8355795293918018
0.095,0.034743,0.02781279351192001,0.818143,0.8340601821362934
0.096,0.035161,0.028352712682349013,0.817279,0.8325427309915852
0.097,0.035161,0.028893268328509192,0.817279,0.8310271735913741
0.098,0.03558,0.029434461200700646,0.816847,0.8295135075723097
0.099,0.035998,0.029976292050107878,0.814687,0.8280017305739917
0.1,0.036417,0.03051876162880074,0.813391,0.8264918402389652
0.101,0.036417,0.031061870689735926,0.811231,0.8249838342127174
0.102,0.036417,0.03160561998675754,0.810367,0.8234777101436734
0.103,0.037673,0.03215001027459852,0.809503,0.8219734656831941
0.104,0.03851,0.03269504230888132,0.808207,0.8204710984855699
0.105,0.03851,0.033240716846119456,0.806911,0.8189706062080202
0.106,0.039766,0.03378703464371774,0.805616,0.8174719865106874
0.107,0.040184,0.034333996459974314,0.80432,0.8159752370566338
0.108,0.040603,0.034881603054081,0.802592,0.8144803555118381
0.109,0.040603,0.03542985518612468,0.801728,0.8129873395451923
