Threshold,FAR,FAR_fitted,FRR,FRR_fitted
0.001,0.0,-0.12480826276271922,1.0,1.195337640157184
0.002,0.0,-0.1242653317410542,1.0,1.193559611712161
0.003,0.0,-0.12372152102832068,1.0,1.191782567861269
0.004,0.0,-0.12317682919918782,1.0,1.190006508059282
0.005,0.0,-0.12263125482601522,1.0,1.1882314317612783
0.006,0.0,-0.1220847964788494,1.0,1.1864573384226351
0.007,0.0,-0.12153745272541999,1.0,1.1846842274990337
0.008,0.0,-0.120989222131136,1.0,1.182912098446455
0.009,0.0,-0.12044010325908183,1.0,1.1811409507211823
0.01,0.0,-0.11989009467001388,1.0,1.1793707837797998
0.011,0.0,-0.11933919492235667,1.0,1.177601597079192
0.012,0.0,-0.11878740257219877,1.0,1.1758333900765443
0.013,0.0,-0.11823471617328934,1.0,1.174066162229344
0.014,0.0,-0.1176811342770343,1.0,1.1722999129953768
0.015,0.0,-0.11712665543249229,1.0,1.17053464183273
0.016,0.0,-0.11657127818637125,1.0,1.168770348199791
0.017,0.0,-0.1160150010830242,1.0,1.1670070315552459
0.018,0.0,-0.11545782266444587,1.0,1.1652446913580823
0.019,0.0,-0.11489974147026838,1.0,1.1634833270675862
0.02,0.0,-0.11434075603775795,1.0,1.1617229381433427
0.021,0.0,-0.11378086490181044,1.0,1.1599635240452373
0.022,0.0,-0.1132200665949481,1.0,1.1582050842334541
0.023,0.0,-0.11265835964731552,1.0,1.156447618168476
0.024,0.0,-0.11209574258667554,1.0,1.1546911253110848
0.025,0.0,-0.11153221393840562,1.0,1.1529356051223605
0.026,0.0,-0.11096777222549425,1.0,1.1511810570636825
0.027,0.0,-0.1104024159685364,1.0,1.1494274805967275
0.028,0.0,-0.10983614368573008,1.0,1.1476748751834704
0.029,0.0,-0.10926895389287256,1.0,1.145923240286185
0.03,0.0,-0.10870084510335626,1.0,1.144172575367441
0.031,0.0,-0.10813181582816478,1.0,1.1424228798901082
0.032,0.0,-0.10756186457586914,1.0,1.140674153317351
0.033,0.0,-0.10699098985262401,1.0,1.1389263951126338
0.034,0.0,-0.1064191901621635,1.0,1.1371796047397162
0.035,0.0,-0.1058464640057975,1.0,1.1354337816626558
0.036,0.0,-0.10527280988240739,1.0,1.1336889253458065
