Threshold,FAR,FAR_fitted,FRR,FRR_fitted
0.001,0.0,-0.09049676125476735,1.0,1.1347278198522743
0.002,0.0,-0.08987263036797855,0.99962,1.1326542500024175
0.003,0.0,-0.0892478465557146,0.99962,1.1305830319579169
0.004,0.0,-0.0886224091349268,0.99962,1.1285141630513982
0.005,0.0,-0.08799631742185221,0.99962,1.1264476406185109
0.006,0.0,-0.08736957073201246,0.99962,1.1243834619979274
0.007,0.0,-0.0867421683802132,0.99962,1.1223216245313385
0.008,0.0,-0.0861141096805429,0.99924,1.1202621255634497
0.009,0.0,-0.085485393946373,0.99924,1.118204962441978
0.01,0.0,-0.08485602049035612,0.99924,1.1161501325176486
0.011,0.0,-0.08422598862442643,0.99924,1.1140976331441919
0.012,0.0,-0.08359529765979778,0.99924,1.1120474616783391
0.013,0.0,-0.08296394690696363,0.99924,1.1099996154798197
0.014,0.0,-0.08233193567569608,0.99924,1.1079540919113575
0.015,0.0,-0.08169926327504529,0.99924,1.1059108883386677
0.016,0.0,-0.08106592901333831,0.99924,1.1038700021304528
0.017,0.0,-0.08043193219817912,0.998481,1.1018314306584003
0.018,0.0,-0.07979727213644672,0.998481,1.0997951712971785
0.019,0.0,-0.07916194813429556,0.998101,1.0977612214244328
0.02,0.0,-0.0785259594971538,0.996582,1.0957295784207832
0.021,0.0,-0.07788930552972329,0.995822,1.0937002396698214
0.022,0.0,-0.07725198553597845,0.995822,1.0916732025581046
0.023,0.0,-0.07661399881916531,0.995822,1.089648464475156
0.024,0.0,-0.07597534468180145,0.995822,1.0876260228134584
0.025,0.0,-0.0753360224256745,0.995822,1.085605874968453
0.026,0.0,-0.07469603135184144,0.995822,1.0835880183385336
0.027,0.0,-0.07405537076062862,0.995063,1.0815724503250466
0.028,0.0,-0.0734140399516301,0.995063,1.0795591683322838
0.029,0.0,-0.07277203822370704,0.995063,1.0775481697674825
0.03,0.0,-0.07212936487498767,0.995063,1.0755394520408195
0.031,0.0,-0.07148601920286535,0.994683,1.07353301256541
0.032,0.0,-0.07084200050399891,0.994683,1.071528848757303
0.033,0.0,-0.07019730807431102,0.994303,1.069526958035477
0.034,0.0,-0.06955194120898811,0.994303,1.067527337821839
0.035,0.0,-0.06890589920247914,0.993923,1.06552998554122
0.036,0.0,-0.06825918134849462,0.993543,1.0635348986213717
0.037,0.0,-0.06761178694000691,0.992404,1.0615420744929622
0.038,0.0,-0.06696371526924816,0.992404,1.0595515105895754
0.039,0.0,-0.06631496562771011,0.992404,1.0575632043477041
0.04,0.0,-0.06566553730614377,0.991645,1.05557715320675
0.041,0.000304,-0.06501542959455764,0.990125,1.053593354609018
0.042,0.000304,-0.0643646417822179,0.990125,1.0516118059997153
0.043,0.000304,-0.0637131731576468,0.990125,1.049632504826945
0.044,0.000304,-0.0630610230086226,0.988986,1.0476554485417058
0.045,0.000304,-0.062408190622178505,0.987847,1.0456806345978866
0.046,0.000304,-0.061754675284601546,0.987847,1.0437080604522646
0.047,0.000304,-0.061100476281432226,0.987467,1.0417377235645011
0.048,0.000304,-0.060445592897463984,0.985188,1.0397696213971388
0.049,0.000304,-0.05979002441674164,0.983669,1.037803751415598
0.05,0.000304,-0.05913377012256105,0.982529,1.0358401110881745
0.051,0.000304,-0.05847682929746856,0.98177,1.0338786978860348
0.052,0.000304,-0.057819201223259675,0.98063,1.031919509283214
0.053,0.000608,-0.05716088518097895,0.980251,1.029962542756612
0.054,0.000608,-0.056501880450918196,0.979491,1.0280077957859892
0.055,0.000608,-0.05584218631261706,0.979111,1.026055265853966
0.056,0.000608,-0.055181802044860895,0.978352,1.0241049504460178
0.057,0.000912,-0.054520726925680774,0.976833,1.022156847050471
0.058,0.000912,-0.05385896023235248,0.976453,1.020210953158501
0.059,0.000912,-0.053196501241395966,0.975313,1.0182672662641297
0.06,0.000912,-0.05253334922857389,0.974174,1.01632578386422
0.061,0.001216,-0.05186950346889141,0.973035,1.014386503458474
0.062,0.001216,-0.051204963236595624,0.971895,1.0124494225494298
0.063,0.001216,-0.050539727805173795,0.971136,1.0105145386424583
0.064,0.001216,-0.04987379644735368,0.969996,1.0085818492457599
0.065,0.001216,-0.049207168435101645,0.968857,1.0066513518703601
0.066,0.001216,-0.04853984303962311,0.968477,1.0047230440301083
0.067,0.00152,-0.04787181953136055,0.968097,1.0027969232416738
0.068,0.00152,-0.04720309717999338,0.967338,1.0008729870245414
0.069,0.001824,-0.04653367525443697,0.966198,0.9989512329010105
0.07,0.001824,-0.045863553022842174,0.965059,0.9970316583961897
0.071,0.001824,-0.0451927297525937,0.964299,0.9951142610379952
0.072,0.001824,-0.04452120471031029,0.96278,0.9931990383571464
0.073,0.002432,-0.04384897716184333,0.961641,0.9912859878871639
0.074,0.002432,-0.04317604637227612,0.961261,0.9893751071643654
0.075,0.002432,-0.04250241160592316,0.959742,0.9874663937278633
0.076,0.002432,-0.04182807212632922,0.958982,0.9855598451195603
0.077,0.002432,-0.04115302719626912,0.958223,0.9836554588841474
0.078,0.002432,-0.04047727607774565,0.955944,0.9817532325691009
0.079,0.002432,-0.039800818031990426,0.954804,0.9798531637246778
0.08,0.002736,-0.039123652319461466,0.954425,0.9779552499039145
0.081,0.002736,-0.038445778199843406,0.953665,0.9760594886626218
0.082,0.003344,-0.03776719493204672,0.952526,0.974165877559383
0.083,0.003344,-0.03708790177420607,0.952146,0.9722744141555512
0.084,0.003344,-0.03640789798368049,0.951006,0.9703850960152437
0.085,0.003344,-0.035727182817051784,0.949867,0.9684979207053418
0.086,0.003344,-0.03504575553012412,0.949487,0.9666128857954864
0.087,0.003649,-0.03436361537792332,0.948728,0.9647299888580742
0.088,0.003649,-0.03368076161469569,0.947209,0.962849227468256
0.089,0.003649,-0.03299719349390717,0.946069,0.9609705992039316
0.09,0.003649,-0.03231291026824323,0.945689,0.9590941016457496
0.091,0.003649,-0.03162791118960717,0.94531,0.9572197323771011
0.092,0.003649,-0.030942195509119697,0.94417,0.955347488984119
0.093,0.003649,-0.030255762477118475,0.943411,0.9534773690556734
0.094,0.003649,-0.029568611343156248,0.942271,0.9516093701833696
0.095,0.003649,-0.02888074135600127,0.941512,0.9497434899615439
0.096,0.003649,-0.028192151763635764,0.939613,0.9478797259872614
0.097,0.003649,-0.02750284181325502,0.938853,0.9460180758603124
0.098,0.003649,-0.026812810751266958,0.938473,0.9441585371832096
0.099,0.003649,-0.026122057823291245,0.937714,0.942301107561185
0.1,0.003953,-0.025430582274158064,0.937334,0.940445784602186
0.101,0.004561,-0.02473838334790812,0.936574,0.9385925659168742
0.102,0.004561,-0.02404546028779042,0.934675,0.9367414491186202
0.103,0.005169,-0.023351812336263267,0.933536,0.934892431823502
0.104,0.005169,-0.02265743873499193,0.932397,0.9330455116503008
0.105,0.005169,-0.021962338724848207,0.930118,0.9312006862204992
0.106,0.005473,-0.021266511545910194,0.928978,0.9293579531582771
0.107,0.005473,-0.020569956437460846,0.928978,0.9275173100905091
0.108,0.005473,-0.0198726726379872,0.92632,0.9256787546467614
0.109,0.005473,-0.019174659385179704,0.92518,0.9238422844592887
0.11,0.005473,-0.01847591591593134,0.922902,0.9220078971630309
0.111,0.006385,-0.017776441466336723,0.922522,0.9201755903956109
0.112,0.006385,-0.017076235271691442,0.921382,0.91834536179733
0.113,0.006385,-0.01637529656649095,0.919483,0.916517209011167
0.114,0.006689,-0.01567362458443,0.917964,0.914691129682773
0.115,0.006689,-0.014971218558401556,0.916065,0.9128671214604701
0.116,0.006993,-0.01426807772049643,0.916065,0.9110451819952469
0.117,0.007297,-0.013564201302001533,0.915686,0.909225308940757
0.118,0.007601,-0.012859588533399968,0.914546,0.9074074999533145
0.119,0.007601,-0.01215423864436982,0.913407,0.9055917526918921
0.12,0.007601,-0.011448150863783257,0.911888,0.9037780648181174
0.121,0.007601,-0.010741324419705656,0.910748,0.9019664339962704
0.122,0.007601,-0.010033758539395032,0.908849,0.9001568578932798
0.123,0.007601,-0.00932545244930072,0.90771,0.8983493341787211
0.124,0.007601,-0.00861640537506314,0.90771,0.896543860524812
0.125,0.007601,-0.007906616541512257,0.90733,0.8947404346064115
0.126,0.007601,-0.007196085172667677,0.90657,0.8929390541010144
0.127,0.007601,-0.006484810491736659,0.905051,0.891139716688751
0.128,0.007601,-0.005772791721114112,0.903532,0.8893424200523815
0.129,0.007601,-0.005060028082381374,0.902393,0.8875471618772949
0.13,0.007601,-0.004346518796305321,0.900874,0.8857539398515059
0.131,0.007601,-0.0036322630828379276,0.899354,0.8839627516656502
0.132,0.007905,-0.002917260161115154,0.898975,0.8821735950129838
0.133,0.008817,-0.0022015092494557242,0.897076,0.8803864675893786
0.134,0.008817,-0.0014850095653606843,0.895936,0.8786013670933194
0.135,0.008817,-0.0007677603255129561,0.895177,0.8768182912259018
0.136,0.009121,-4.976074577556222e-05,0.894797,0.8750372376908292
0.137,0.009729,0.0006689899588089299,0.892898,0.8732582041944082
0.138,0.010033,0.0013884925740185183,0.892138,0.8714811884455477
0.139,0.010033,0.0021087478864539877,0.891379,0.8697061881557554
