Detector,Dataset,Threshold,FAR,FRR,alpha,beta,FAR-alpha,FRR-beta,K_value
SBI,Celeb-DF,0.001,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.002,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.003,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.004,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.005,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.006,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.007,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.008,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.009,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.01,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.011,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.012,0.0,1.0,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4906926032984522,0.1570255331143409
SBI,Celeb-DF,0.013,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.014,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.015,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.016,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.017,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.018,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.019,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.02,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.021,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.022,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.023,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.024,0.0,0.994382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4850746032984523,0.15643374816613334
SBI,Celeb-DF,0.025,0.0,0.988764,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4794566032984522,0.15584196321792576
SBI,Celeb-DF,0.026,0.0,0.988764,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4794566032984522,0.15584196321792576
SBI,Celeb-DF,0.027,0.0,0.988764,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4794566032984522,0.15584196321792576
SBI,Celeb-DF,0.028,0.0,0.988764,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4794566032984522,0.15584196321792576
SBI,Celeb-DF,0.029,0.0,0.988764,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4794566032984522,0.15584196321792576
SBI,Celeb-DF,0.03,0.0,0.988764,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4794566032984522,0.15584196321792576
SBI,Celeb-DF,0.031,0.0,0.983146,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4738386032984523,0.1552501782697182
SBI,Celeb-DF,0.032,0.0,0.983146,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4738386032984523,0.1552501782697182
