sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
000,FF++,0,SBI,visual,0.098418,probability,364.1,N/A,N/A,ok,
003,FF++,0,SBI,visual,0.011469,probability,170.0,N/A,N/A,ok,
012,FF++,0,SBI,visual,0.038896,probability,187.1,N/A,N/A,ok,
015,FF++,0,SBI,visual,0.027949,probability,156.1,N/A,N/A,ok,
024,FF++,0,SBI,visual,0.504035,probability,187.4,N/A,N/A,ok,
026,FF++,0,SBI,visual,0.029273,probability,172.7,N/A,N/A,ok,
029,FF++,0,SBI,visual,0.433822,probability,172.9,N/A,N/A,ok,
035,FF++,0,SBI,visual,0.015222,probability,156.3,N/A,N/A,ok,
036,FF++,0,SBI,visual,0.070492,probability,171.7,N/A,N/A,ok,
044,FF++,0,SBI,visual,0.00376,probability,170.4,N/A,N/A,ok,
047,FF++,0,SBI,visual,0.412215,probability,156.2,N/A,N/A,ok,
048,FF++,0,SBI,visual,0.001997,probability,173.4,N/A,N/A,ok,
073,FF++,0,SBI,visual,0.066567,probability,171.9,N/A,N/A,ok,
078,FF++,0,SBI,visual,0.004681,probability,172.2,N/A,N/A,ok,
102,FF++,0,SBI,visual,0.017399,probability,155.9,N/A,N/A,ok,
114,FF++,0,SBI,visual,0.010097,probability,170.3,N/A,N/A,ok,
128,FF++,0,SBI,visual,0.071759,probability,173.3,N/A,N/A,ok,
135,FF++,0,SBI,visual,0.150563,probability,170.4,N/A,N/A,ok,
138,FF++,0,SBI,visual,0.208173,probability,172.3,N/A,N/A,ok,
141,FF++,0,SBI,visual,0.254104,probability,165.3,N/A,N/A,ok,
142,FF++,0,SBI,visual,0.03754,probability,164.1,N/A,N/A,ok,
154,FF++,0,SBI,visual,0.2339,probability,172.4,N/A,N/A,ok,
158,FF++,0,SBI,visual,0.098993,probability,155.8,N/A,N/A,ok,
161,FF++,0,SBI,visual,0.238931,probability,172.0,N/A,N/A,ok,
169,FF++,0,SBI,visual,0.031524,probability,170.2,N/A,N/A,ok,
170,FF++,0,SBI,visual,0.134625,probability,169.5,N/A,N/A,ok,
176,FF++,0,SBI,visual,0.087351,probability,158.4,N/A,N/A,ok,
186,FF++,0,SBI,visual,0.179611,probability,173.7,N/A,N/A,ok,
190,FF++,0,SBI,visual,0.164065,probability,156.0,N/A,N/A,ok,
214,FF++,0,SBI,visual,0.166347,probability,172.6,N/A,N/A,ok,
219,FF++,0,SBI,visual,0.066807,probability,171.5,N/A,N/A,ok,
220,FF++,0,SBI,visual,0.035125,probability,169.8,N/A,N/A,ok,
227,FF++,0,SBI,visual,0.042007,probability,158.0,N/A,N/A,ok,
233,FF++,0,SBI,visual,0.034971,probability,172.0,N/A,N/A,ok,
249,FF++,0,SBI,visual,0.108526,probability,170.3,N/A,N/A,ok,
