detector_name,dataset,threshold,far,frr,avg_latency_ms,n_samples
SBI,FF++,0.05,0.5286,0.0464,308.7,700
SBI,FF++,0.1,0.3857,0.1,308.7,700
SBI,FF++,0.15,0.2857,0.1375,308.7,700
SBI,FF++,0.2,0.2071,0.1946,308.7,700
SBI,FF++,0.25,0.1643,0.2339,308.7,700
SBI,FF++,0.3,0.1357,0.2589,308.7,700
SBI,FF++,0.35,0.1,0.2911,308.7,700
SBI,FF++,0.4,0.0714,0.3196,308.7,700
SBI,FF++,0.45,0.05,0.3536,308.7,700
SBI,FF++,0.5,0.0429,0.4,308.7,700
SBI,FF++,0.55,0.0286,0.4357,308.7,700
SBI,FF++,0.6,0.0286,0.4804,308.7,700
SBI,FF++,0.65,0.0286,0.5161,308.7,700
SBI,FF++,0.7,0.0214,0.5536,308.7,700
SBI,FF++,0.75,0.0071,0.5982,308.7,700
SBI,FF++,0.8,0.0071,0.6321,308.7,700
SBI,FF++,0.85,0.0,0.6839,308.7,700
SBI,FF++,0.9,0.0,0.7411,308.7,700
SBI,FF++,0.95,0.0,0.8054,308.7,700
SBI,FF++,1.0,0.0,1.0,308.7,700
