sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.0,0.97191
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.002941,0.893258
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.008824,0.837079
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.011765,0.730337
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.032353,0.646067
1,-1,-1,0.3,0.3,-1,-1,-1,-1,0.044118,0.58427
1,-1,-1,0.35,0.35,-1,-1,-1,-1,0.079412,0.505618
1,-1,-1,0.4,0.4,-1,-1,-1,-1,0.117647,0.460674
1,-1,-1,0.45,0.45,-1,-1,-1,-1,0.155882,0.393258
1,-1,-1,0.5,0.5,-1,-1,-1,-1,0.182353,0.353933
1,-1,-1,0.55,0.55,-1,-1,-1,-1,0.238235,0.297753
1,-1,-1,0.6,0.6,-1,-1,-1,-1,0.279412,0.219101
1,-1,-1,0.65,0.65,-1,-1,-1,-1,0.341176,0.151685
1,-1,-1,0.7,0.7,-1,-1,-1,-1,0.385294,0.106742
1,-1,-1,0.75,0.75,-1,-1,-1,-1,0.464706,0.08427
1,-1,-1,0.8,0.8,-1,-1,-1,-1,0.547059,0.039326
1,-1,-1,0.85,0.85,-1,-1,-1,-1,0.614706,0.022472
1,-1,-1,0.9,0.9,-1,-1,-1,-1,0.732353,0.005618
1,-1,-1,0.95,0.95,-1,-1,-1,-1,0.841176,0.0
1,-1,-1,1.0,1.0,-1,-1,-1,-1,1.0,0.0
