sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,-1,0.05,0.05,-1,-1,-1,-1,0.123736,0.642233
1,-1,-1,0.1,0.1,-1,-1,-1,-1,0.223423,0.451576
1,-1,-1,0.15,0.15,-1,-1,-1,-1,0.302544,0.342955
1,-1,-1,0.2,0.2,-1,-1,-1,-1,0.359707,0.263578
1,-1,-1,0.25,0.25,-1,-1,-1,-1,0.421401,0.20281
1,-1,-1,0.3,0.3,-1,-1,-1,-1,0.470199,0.167869
1,-1,-1,0.35,0.35,-1,-1,-1,-1,0.508191,0.131789
1,-1,-1,0.4,0.4,-1,-1,-1,-1,0.551412,0.106343
1,-1,-1,0.45,0.45,-1,-1,-1,-1,0.585221,0.082415
1,-1,-1,0.5,0.5,-1,-1,-1,-1,0.622517,0.067603
1,-1,-1,0.55,0.55,-1,-1,-1,-1,0.654583,0.052412
1,-1,-1,0.6,0.6,-1,-1,-1,-1,0.686999,0.041018
1,-1,-1,0.65,0.65,-1,-1,-1,-1,0.719414,0.033042
1,-1,-1,0.7,0.7,-1,-1,-1,-1,0.743116,0.023927
1,-1,-1,0.75,0.75,-1,-1,-1,-1,0.773789,0.01823
1,-1,-1,0.8,0.8,-1,-1,-1,-1,0.798536,0.009115
1,-1,-1,0.85,0.85,-1,-1,-1,-1,0.825723,0.004937
1,-1,-1,0.9,0.9,-1,-1,-1,-1,0.858836,0.002279
1,-1,-1,0.95,0.95,-1,-1,-1,-1,0.899617,0.00038
1,-1,-1,1.0,1.0,-1,-1,-1,-1,1.0,0.0
