sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,2,-1,0.05,0.05,0.05,0.05,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.1,0.1,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.15,0.15,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.2,0.2,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.25,0.25,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.3,0.3,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.35,0.35,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.4,0.4,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.45,0.45,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.5,0.5,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.55,0.55,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.6,0.6,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.65,0.65,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.7,0.7,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.75,0.75,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.8,0.8,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.85,0.85,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.9,0.9,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,0.95,0.95,-1,-1,0.0,0.97191
1,2,-1,0.05,0.05,1.0,1.0,-1,-1,0.0,0.97191
1,2,-1,0.1,0.05,0.05,0.05,-1,-1,9e-06,0.96484
1,2,-1,0.1,0.05,0.1,0.1,-1,-1,4.3e-05,0.95777
1,2,-1,0.1,0.05,0.15,0.15,-1,-1,6.9e-05,0.949817
1,2,-1,0.1,0.05,0.2,0.2,-1,-1,0.000147,0.944514
1,2,-1,0.1,0.05,0.25,0.25,-1,-1,0.000277,0.937445
1,2,-1,0.1,0.05,0.3,0.3,-1,-1,0.000389,0.932142
1,2,-1,0.1,0.05,0.35,0.35,-1,-1,0.000493,0.929049
1,2,-1,0.1,0.05,0.4,0.4,-1,-1,0.000666,0.921537
1,2,-1,0.1,0.05,0.45,0.45,-1,-1,0.000796,0.917119
1,2,-1,0.1,0.05,0.5,0.5,-1,-1,0.001012,0.9127
1,2,-1,0.1,0.05,0.55,0.55,-1,-1,0.001306,0.908723
1,2,-1,0.1,0.05,0.6,0.6,-1,-1,0.001557,0.903421
1,2,-1,0.1,0.05,0.65,0.65,-1,-1,0.001765,0.90077
