sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,2,-1,0.05,0.05,0.05,0.05,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.1,0.1,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.15,0.15,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.2,0.2,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.25,0.25,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.3,0.3,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.35,0.35,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.4,0.4,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.45,0.45,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.5,0.5,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.55,0.55,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.6,0.6,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.65,0.65,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.7,0.7,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.75,0.75,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.8,0.8,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.85,0.85,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.9,0.9,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,0.95,0.95,-1,-1,0.148598,0.623758
1,2,-1,0.05,0.05,1.0,1.0,-1,-1,0.148598,0.623758
1,2,-1,0.1,0.05,0.05,0.05,-1,-1,0.150278,0.601403
1,2,-1,0.1,0.05,0.1,0.1,-1,-1,0.152897,0.586033
1,2,-1,0.1,0.05,0.15,0.15,-1,-1,0.155515,0.573982
1,2,-1,0.1,0.05,0.2,0.2,-1,-1,0.158628,0.561058
1,2,-1,0.1,0.05,0.25,0.25,-1,-1,0.16179,0.549269
1,2,-1,0.1,0.05,0.3,0.3,-1,-1,0.164854,0.537392
1,2,-1,0.1,0.05,0.35,0.35,-1,-1,0.168757,0.525953
1,2,-1,0.1,0.05,0.4,0.4,-1,-1,0.173204,0.513989
1,2,-1,0.1,0.05,0.45,0.45,-1,-1,0.179529,0.501327
1,2,-1,0.1,0.05,0.5,0.5,-1,-1,0.186397,0.489974
1,2,-1,0.1,0.05,0.55,0.55,-1,-1,0.191832,0.48194
1,2,-1,0.1,0.05,0.6,0.6,-1,-1,0.197267,0.474081
1,2,-1,0.1,0.05,0.65,0.65,-1,-1,0.202603,0.466396
1,2,-1,0.1,0.05,0.7,0.7,-1,-1,0.209373,0.458974
1,2,-1,0.1,0.05,0.75,0.75,-1,-1,0.215154,0.452599
1,2,-1,0.1,0.05,0.8,0.8,-1,-1,0.222219,0.446137
1,2,-1,0.1,0.05,0.85,0.85,-1,-1,0.228544,0.440286
1,2,-1,0.1,0.05,0.9,0.9,-1,-1,0.235214,0.43557
1,2,-1,0.1,0.05,0.95,0.95,-1,-1,0.243317,0.43068
1,2,-1,0.1,0.05,1.0,1.0,-1,-1,0.266639,0.421598
1,2,-1,0.15,0.05,0.05,0.05,-1,-1,0.151606,0.588887
1,2,-1,0.15,0.05,0.1,0.1,-1,-1,0.156296,0.564914
1,2,-1,0.15,0.05,0.15,0.15,-1,-1,0.160986,0.546116
1,2,-1,0.15,0.05,0.2,0.2,-1,-1,0.16656,0.525957
1,2,-1,0.15,0.05,0.25,0.25,-1,-1,0.172223,0.507567
1,2,-1,0.15,0.05,0.3,0.3,-1,-1,0.177709,0.489042
1,2,-1,0.15,0.05,0.35,0.35,-1,-1,0.184699,0.471199
1,2,-1,0.15,0.05,0.4,0.4,-1,-1,0.192662,0.452537
1,2,-1,0.15,0.05,0.45,0.45,-1,-1,0.203988,0.432786
1,2,-1,0.15,0.05,0.5,0.5,-1,-1,0.216287,0.415078
1,2,-1,0.15,0.05,0.55,0.55,-1,-1,0.22602,0.402547
1,2,-1,0.15,0.05,0.6,0.6,-1,-1,0.235753,0.390287
1,2,-1,0.15,0.05,0.65,0.65,-1,-1,0.24531,0.378301
1,2,-1,0.15,0.05,0.7,0.7,-1,-1,0.257432,0.366722
1,2,-1,0.15,0.05,0.75,0.75,-1,-1,0.267784,0.356779
1,2,-1,0.15,0.05,0.8,0.8,-1,-1,0.280437,0.346699
1,2,-1,0.15,0.05,0.85,0.85,-1,-1,0.291763,0.337573
1,2,-1,0.15,0.05,0.9,0.9,-1,-1,0.303708,0.330217
1,2,-1,0.15,0.05,0.95,0.95,-1,-1,0.318219,0.322589
1,2,-1,0.15,0.05,1.0,1.0,-1,-1,0.359983,0.308423
1,2,-1,0.2,0.05,0.05,0.05,-1,-1,0.152566,0.580337
1,2,-1,0.2,0.05,0.1,0.1,-1,-1,0.15875,0.550485
1,2,-1,0.2,0.05,0.15,0.15,-1,-1,0.164935,0.527078
1,2,-1,0.2,0.05,0.2,0.2,-1,-1,0.172287,0.501975
1,2,-1,0.2,0.05,0.25,0.25,-1,-1,0.179755,0.479077
1,2,-1,0.2,0.05,0.3,0.3,-1,-1,0.18699,0.45601
1,2,-1,0.2,0.05,0.35,0.35,-1,-1,0.196208,0.433791
1,2,-1,0.2,0.05,0.4,0.4,-1,-1,0.20671,0.410553
1,2,-1,0.2,0.05,0.45,0.45,-1,-1,0.221647,0.385959
1,2,-1,0.2,0.05,0.5,0.5,-1,-1,0.237867,0.36391
1,2,-1,0.2,0.05,0.55,0.55,-1,-1,0.250703,0.348305
1,2,-1,0.2,0.05,0.6,0.6,-1,-1,0.263539,0.33304
1,2,-1,0.2,0.05,0.65,0.65,-1,-1,0.276142,0.318114
1,2,-1,0.2,0.05,0.7,0.7,-1,-1,0.292129,0.303697
1,2,-1,0.2,0.05,0.75,0.75,-1,-1,0.305782,0.291315
1,2,-1,0.2,0.05,0.8,0.8,-1,-1,0.322469,0.278763
1,2,-1,0.2,0.05,0.85,0.85,-1,-1,0.337406,0.2674
1,2,-1,0.2,0.05,0.9,0.9,-1,-1,0.353159,0.25824
1,2,-1,0.2,0.05,0.95,0.95,-1,-1,0.372296,0.248742
1,2,-1,0.2,0.05,1.0,1.0,-1,-1,0.427375,0.231102
1,2,-1,0.25,0.05,0.05,0.05,-1,-1,0.153566,0.573697
1,2,-1,0.25,0.05,0.1,0.1,-1,-1,0.161311,0.53928
1,2,-1,0.25,0.05,0.15,0.15,-1,-1,0.169056,0.512294
1,2,-1,0.25,0.05,0.2,0.2,-1,-1,0.178262,0.483353
1,2,-1,0.25,0.05,0.25,0.25,-1,-1,0.187614,0.456953
1,2,-1,0.25,0.05,0.3,0.3,-1,-1,0.196674,0.430358
1,2,-1,0.25,0.05,0.35,0.35,-1,-1,0.208218,0.404741
1,2,-1,0.25,0.05,0.4,0.4,-1,-1,0.22137,0.377951
1,2,-1,0.25,0.05,0.45,0.45,-1,-1,0.240074,0.349596
1,2,-1,0.25,0.05,0.5,0.5,-1,-1,0.260386,0.324174
1,2,-1,0.25,0.05,0.55,0.55,-1,-1,0.27646,0.306184
1,2,-1,0.25,0.05,0.6,0.6,-1,-1,0.292534,0.288584
1,2,-1,0.25,0.05,0.65,0.65,-1,-1,0.308316,0.271375
1,2,-1,0.25,0.05,0.7,0.7,-1,-1,0.328336,0.254754
1,2,-1,0.25,0.05,0.75,0.75,-1,-1,0.345432,0.240479
1,2,-1,0.25,0.05,0.8,0.8,-1,-1,0.366329,0.226008
1,2,-1,0.25,0.05,0.85,0.85,-1,-1,0.385033,0.212906
1,2,-1,0.25,0.05,0.9,0.9,-1,-1,0.404761,0.202346
1,2,-1,0.25,0.05,0.95,0.95,-1,-1,0.428726,0.191395
1,2,-1,0.25,0.05,1.0,1.0,-1,-1,0.497698,0.171058
