sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,2,0.05,0.05,-1,-1,0.05,0.05,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.1,0.1,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.15,0.15,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.2,0.2,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.25,0.25,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.3,0.3,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.35,0.35,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.4,0.4,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.45,0.45,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.5,0.5,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.55,0.55,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.6,0.6,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.65,0.65,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.7,0.7,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.75,0.75,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.8,0.8,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.85,0.85,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.9,0.9,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,0.95,0.95,0.123736,0.642233
1,-1,2,0.05,0.05,-1,-1,1.0,1.0,0.123736,0.642233
1,-1,2,0.1,0.05,-1,-1,0.05,0.05,0.123766,0.638902
1,-1,2,0.1,0.05,-1,-1,0.1,0.1,0.12413,0.630285
1,-1,2,0.1,0.05,-1,-1,0.15,0.15,0.125039,0.619568
1,-1,2,0.1,0.05,-1,-1,0.2,0.2,0.126343,0.6082
1,-1,2,0.1,0.05,-1,-1,0.25,0.25,0.12804,0.594949
1,-1,2,0.1,0.05,-1,-1,0.3,0.3,0.130859,0.579236
1,-1,2,0.1,0.05,-1,-1,0.35,0.35,0.134465,0.564247
1,-1,2,0.1,0.05,-1,-1,0.4,0.4,0.138921,0.549692
1,-1,2,0.1,0.05,-1,-1,0.45,0.45,0.144589,0.533255
1,-1,2,0.1,0.05,-1,-1,0.5,0.5,0.155803,0.509867
1,-1,2,0.1,0.05,-1,-1,0.55,0.55,0.163199,0.493502
1,-1,2,0.1,0.05,-1,-1,0.6,0.6,0.170564,0.480757
1,-1,2,0.1,0.05,-1,-1,0.65,0.65,0.177838,0.471779
1,-1,2,0.1,0.05,-1,-1,0.7,0.7,0.1849,0.464972
1,-1,2,0.1,0.05,-1,-1,0.75,0.75,0.190416,0.46012
1,-1,2,0.1,0.05,-1,-1,0.8,0.8,0.196054,0.455341
1,-1,2,0.1,0.05,-1,-1,0.85,0.85,0.200358,0.453531
1,-1,2,0.1,0.05,-1,-1,0.9,0.9,0.205025,0.452517
1,-1,2,0.1,0.05,-1,-1,0.95,0.95,0.210208,0.451793
1,-1,2,0.1,0.05,-1,-1,1.0,1.0,0.223423,0.451576
1,-1,2,0.15,0.05,-1,-1,0.05,0.05,0.12379,0.637004
1,-1,2,0.15,0.05,-1,-1,0.1,0.1,0.124443,0.623478
1,-1,2,0.15,0.05,-1,-1,0.15,0.15,0.126074,0.606656
1,-1,2,0.15,0.05,-1,-1,0.2,0.2,0.128411,0.588811
1,-1,2,0.15,0.05,-1,-1,0.25,0.25,0.131456,0.56801
1,-1,2,0.15,0.05,-1,-1,0.3,0.3,0.136512,0.543345
1,-1,2,0.15,0.05,-1,-1,0.35,0.35,0.142981,0.519817
1,-1,2,0.15,0.05,-1,-1,0.4,0.4,0.150973,0.49697
1,-1,2,0.15,0.05,-1,-1,0.45,0.45,0.161139,0.471168
1,-1,2,0.15,0.05,-1,-1,0.5,0.5,0.181255,0.434455
