sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
1,-1,2,0.05,0.05,-1,-1,0.05,0.05,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.1,0.1,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.15,0.15,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.2,0.2,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.25,0.25,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.3,0.3,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.35,0.35,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.4,0.4,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.45,0.45,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.5,0.5,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.55,0.55,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.6,0.6,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.65,0.65,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.7,0.7,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.75,0.75,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.8,0.8,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.85,0.85,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.9,0.9,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,0.95,0.95,0.0,0.528571
1,-1,2,0.05,0.05,-1,-1,1.0,1.0,0.0,0.528571
1,-1,2,0.1,0.05,-1,-1,0.05,0.05,0.0,0.523469
1,-1,2,0.1,0.05,-1,-1,0.1,0.1,0.0,0.518367
1,-1,2,0.1,0.05,-1,-1,0.15,0.15,0.0,0.503061
1,-1,2,0.1,0.05,-1,-1,0.2,0.2,0.0,0.491836
1,-1,2,0.1,0.05,-1,-1,0.25,0.25,7.7e-05,0.473469
1,-1,2,0.1,0.05,-1,-1,0.3,0.3,0.000153,0.462244
1,-1,2,0.1,0.05,-1,-1,0.35,0.35,0.000191,0.447959
1,-1,2,0.1,0.05,-1,-1,0.4,0.4,0.000191,0.436734
1,-1,2,0.1,0.05,-1,-1,0.45,0.45,0.000191,0.423469
1,-1,2,0.1,0.05,-1,-1,0.5,0.5,0.000344,0.419387
1,-1,2,0.1,0.05,-1,-1,0.55,0.55,0.000459,0.409183
1,-1,2,0.1,0.05,-1,-1,0.6,0.6,0.000612,0.402041
1,-1,2,0.1,0.05,-1,-1,0.65,0.65,0.00088,0.397959
1,-1,2,0.1,0.05,-1,-1,0.7,0.7,0.001225,0.395918
