sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.010946,0.887581
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.02858,0.810482
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.045607,0.745917
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.067498,0.679453
-1,1,-1,-1,-1,0.25,0.25,-1,-1,0.091821,0.617926
-1,1,-1,-1,-1,0.3,0.3,-1,-1,0.114929,0.560197
-1,1,-1,-1,-1,0.35,0.35,-1,-1,0.142597,0.505127
-1,1,-1,-1,-1,0.4,0.4,-1,-1,0.176649,0.441701
-1,1,-1,-1,-1,0.45,0.45,-1,-1,0.220128,0.380175
-1,1,-1,-1,-1,0.5,0.5,-1,-1,0.270295,0.323585
-1,1,-1,-1,-1,0.55,0.55,-1,-1,0.314989,0.282947
-1,1,-1,-1,-1,0.6,0.6,-1,-1,0.358468,0.243828
-1,1,-1,-1,-1,0.65,0.65,-1,-1,0.399514,0.206608
-1,1,-1,-1,-1,0.7,0.7,-1,-1,0.449985,0.171288
-1,1,-1,-1,-1,0.75,0.75,-1,-1,0.496503,0.140904
-1,1,-1,-1,-1,0.8,0.8,-1,-1,0.546671,0.1109
-1,1,-1,-1,-1,0.85,0.85,-1,-1,0.596534,0.084314
-1,1,-1,-1,-1,0.9,0.9,-1,-1,0.644573,0.061907
-1,1,-1,-1,-1,0.95,0.95,-1,-1,0.709334,0.039878
-1,1,-1,-1,-1,1.0,1.0,-1,-1,1.0,0.0
