sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,-1,-1,-1,0.05,0.05,-1,-1,0.014232,0.889417
-1,1,-1,-1,-1,0.1,0.1,-1,-1,0.036417,0.813391
-1,1,-1,-1,-1,0.15,0.15,-1,-1,0.058602,0.75378
-1,1,-1,-1,-1,0.2,0.2,-1,-1,0.084973,0.689849
-1,1,-1,-1,-1,0.25,0.25,-1,-1,0.111762,0.631533
-1,1,-1,-1,-1,0.3,0.3,-1,-1,0.137715,0.572786
-1,1,-1,-1,-1,0.35,0.35,-1,-1,0.170783,0.516199
-1,1,-1,-1,-1,0.4,0.4,-1,-1,0.208455,0.457019
-1,1,-1,-1,-1,0.45,0.45,-1,-1,0.262034,0.394384
-1,1,-1,-1,-1,0.5,0.5,-1,-1,0.320218,0.338229
-1,1,-1,-1,-1,0.55,0.55,-1,-1,0.366262,0.298488
-1,1,-1,-1,-1,0.6,0.6,-1,-1,0.412306,0.259611
-1,1,-1,-1,-1,0.65,0.65,-1,-1,0.457514,0.221598
-1,1,-1,-1,-1,0.7,0.7,-1,-1,0.51486,0.184881
-1,1,-1,-1,-1,0.75,0.75,-1,-1,0.563834,0.153348
-1,1,-1,-1,-1,0.8,0.8,-1,-1,0.623692,0.121382
-1,1,-1,-1,-1,0.85,0.85,-1,-1,0.677271,0.092441
-1,1,-1,-1,-1,0.9,0.9,-1,-1,0.73378,0.069114
-1,1,-1,-1,-1,0.95,0.95,-1,-1,0.802428,0.044924
-1,1,-1,-1,-1,1.0,1.0,-1,-1,1.0,0.0
