sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,1,-1,0.05,0.05,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.1,0.1,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.15,0.15,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.2,0.2,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.25,0.25,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.3,0.3,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.35,0.35,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.4,0.4,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.45,0.45,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.5,0.5,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.55,0.55,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.6,0.6,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.65,0.65,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.7,0.7,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.75,0.75,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.8,0.8,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.85,0.85,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.9,0.9,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.95,0.95,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,1.0,1.0,0.05,0.05,-1,-1,0.002941,0.910112
2,1,-1,0.05,0.05,0.1,0.05,-1,-1,0.002941,0.907587
2,1,-1,0.1,0.1,0.1,0.05,-1,-1,0.002976,0.900517
2,1,-1,0.15,0.15,0.1,0.05,-1,-1,0.003045,0.895468
2,1,-1,0.2,0.2,0.1,0.05,-1,-1,0.003079,0.885873
2,1,-1,0.25,0.25,0.1,0.05,-1,-1,0.003322,0.878298
2,1,-1,0.3,0.3,0.1,0.05,-1,-1,0.00346,0.872743
2,1,-1,0.35,0.35,0.1,0.05,-1,-1,0.003875,0.865673
2,1,-1,0.4,0.4,0.1,0.05,-1,-1,0.004325,0.861634
2,1,-1,0.45,0.45,0.1,0.05,-1,-1,0.004775,0.855574
2,1,-1,0.5,0.5,0.1,0.05,-1,-1,0.005086,0.852039
2,1,-1,0.55,0.55,0.1,0.05,-1,-1,0.005744,0.846989
2,1,-1,0.6,0.6,0.1,0.05,-1,-1,0.006228,0.839919
2,1,-1,0.65,0.65,0.1,0.05,-1,-1,0.006955,0.83386
2,1,-1,0.7,0.7,0.1,0.05,-1,-1,0.007474,0.82982
2,1,-1,0.75,0.75,0.1,0.05,-1,-1,0.008408,0.8278
2,1,-1,0.8,0.8,0.1,0.05,-1,-1,0.009377,0.82376
2,1,-1,0.85,0.85,0.1,0.05,-1,-1,0.010173,0.822245
2,1,-1,0.9,0.9,0.1,0.05,-1,-1,0.011557,0.82073
2,1,-1,0.95,0.95,0.1,0.05,-1,-1,0.012837,0.820225
2,1,-1,1.0,1.0,0.1,0.05,-1,-1,0.014706,0.820225
2,1,-1,0.05,0.05,0.15,0.05,-1,-1,0.002941,0.904747
2,1,-1,0.1,0.1,0.15,0.05,-1,-1,0.003002,0.889723
2,1,-1,0.15,0.15,0.15,0.05,-1,-1,0.003123,0.878992
2,1,-1,0.2,0.2,0.15,0.05,-1,-1,0.003183,0.858603
2,1,-1,0.25,0.25,0.15,0.05,-1,-1,0.003607,0.842507
2,1,-1,0.3,0.3,0.15,0.05,-1,-1,0.003849,0.830703
2,1,-1,0.35,0.35,0.15,0.05,-1,-1,0.004576,0.81568
2,1,-1,0.4,0.4,0.15,0.05,-1,-1,0.005363,0.807095
2,1,-1,0.45,0.45,0.15,0.05,-1,-1,0.00615,0.794218
2,1,-1,0.5,0.5,0.15,0.05,-1,-1,0.006695,0.786706
2,1,-1,0.55,0.55,0.15,0.05,-1,-1,0.007846,0.775975
2,1,-1,0.6,0.6,0.15,0.05,-1,-1,0.008694,0.760952
2,1,-1,0.65,0.65,0.15,0.05,-1,-1,0.009965,0.748075
2,1,-1,0.7,0.7,0.15,0.05,-1,-1,0.010873,0.73949
2,1,-1,0.75,0.75,0.15,0.05,-1,-1,0.012508,0.735197
2,1,-1,0.8,0.8,0.15,0.05,-1,-1,0.014204,0.726613
2,1,-1,0.85,0.85,0.15,0.05,-1,-1,0.015597,0.723393
2,1,-1,0.9,0.9,0.15,0.05,-1,-1,0.018019,0.720174
2,1,-1,0.95,0.95,0.15,0.05,-1,-1,0.020259,0.719101
2,1,-1,1.0,1.0,0.15,0.05,-1,-1,0.023529,0.719101
2,1,-1,0.05,0.05,0.2,0.05,-1,-1,0.002941,0.902853
2,1,-1,0.1,0.1,0.2,0.05,-1,-1,0.003079,0.882527
2,1,-1,0.15,0.15,0.2,0.05,-1,-1,0.003356,0.868009
2,1,-1,0.2,0.2,0.2,0.05,-1,-1,0.003495,0.840424
2,1,-1,0.25,0.25,0.2,0.05,-1,-1,0.004463,0.818646
2,1,-1,0.3,0.3,0.2,0.05,-1,-1,0.005017,0.802676
2,1,-1,0.35,0.35,0.2,0.05,-1,-1,0.006678,0.78235
2,1,-1,0.4,0.4,0.2,0.05,-1,-1,0.008477,0.770736
2,1,-1,0.45,0.45,0.2,0.05,-1,-1,0.010277,0.753313
2,1,-1,0.5,0.5,0.2,0.05,-1,-1,0.011522,0.743151
2,1,-1,0.55,0.55,0.2,0.05,-1,-1,0.014152,0.728632
2,1,-1,0.6,0.6,0.2,0.05,-1,-1,0.01609,0.708307
2,1,-1,0.65,0.65,0.2,0.05,-1,-1,0.018996,0.690884
2,1,-1,0.7,0.7,0.2,0.05,-1,-1,0.021073,0.67927
2,1,-1,0.75,0.75,0.2,0.05,-1,-1,0.02481,0.673463
2,1,-1,0.8,0.8,0.2,0.05,-1,-1,0.028685,0.661848
2,1,-1,0.85,0.85,0.2,0.05,-1,-1,0.031868,0.657492
2,1,-1,0.9,0.9,0.2,0.05,-1,-1,0.037405,0.653137
2,1,-1,0.95,0.95,0.2,0.05,-1,-1,0.042526,0.651685
2,1,-1,1.0,1.0,0.2,0.05,-1,-1,0.05,0.651685
2,1,-1,0.05,0.05,0.25,0.05,-1,-1,0.002941,0.900328
2,1,-1,0.1,0.1,0.25,0.05,-1,-1,0.003209,0.872932
2,1,-1,0.15,0.15,0.25,0.05,-1,-1,0.003746,0.853364
2,1,-1,0.2,0.2,0.25,0.05,-1,-1,0.004014,0.816185
2,1,-1,0.25,0.25,0.25,0.05,-1,-1,0.005891,0.786832
2,1,-1,0.3,0.3,0.25,0.05,-1,-1,0.006964,0.765307
2,1,-1,0.35,0.35,0.25,0.05,-1,-1,0.010182,0.737912
2,1,-1,0.4,0.4,0.25,0.05,-1,-1,0.013668,0.722257
2,1,-1,0.45,0.45,0.25,0.05,-1,-1,0.017154,0.698775
2,1,-1,0.5,0.5,0.25,0.05,-1,-1,0.019567,0.685078
2,1,-1,0.55,0.55,0.25,0.05,-1,-1,0.024663,0.66551
2,1,-1,0.6,0.6,0.25,0.05,-1,-1,0.028417,0.638114
2,1,-1,0.65,0.65,0.25,0.05,-1,-1,0.034048,0.614632
2,1,-1,0.7,0.7,0.25,0.05,-1,-1,0.038071,0.598978
2,1,-1,0.75,0.75,0.25,0.05,-1,-1,0.045311,0.59115
2,1,-1,0.8,0.8,0.25,0.05,-1,-1,0.05282,0.575496
2,1,-1,0.85,0.85,0.25,0.05,-1,-1,0.058988,0.569625
2,1,-1,0.9,0.9,0.25,0.05,-1,-1,0.069715,0.563755
2,1,-1,0.95,0.95,0.25,0.05,-1,-1,0.079637,0.561798
2,1,-1,1.0,1.0,0.25,0.05,-1,-1,0.094118,0.561798
2,1,-1,0.05,0.05,0.3,0.05,-1,-1,0.002941,0.898434
2,1,-1,0.1,0.1,0.3,0.05,-1,-1,0.003322,0.865736
2,1,-1,0.15,0.15,0.3,0.05,-1,-1,0.004083,0.842381
2,1,-1,0.2,0.2,0.3,0.05,-1,-1,0.004464,0.798005
2,1,-1,0.25,0.25,0.3,0.05,-1,-1,0.007128,0.762971
2,1,-1,0.3,0.3,0.3,0.05,-1,-1,0.00865,0.737281
2,1,-1,0.35,0.35,0.3,0.05,-1,-1,0.013218,0.704583
2,1,-1,0.4,0.4,0.3,0.05,-1,-1,0.018166,0.685898
2,1,-1,0.45,0.45,0.3,0.05,-1,-1,0.023114,0.657871
2,1,-1,0.5,0.5,0.3,0.05,-1,-1,0.02654,0.641523
2,1,-1,0.55,0.55,0.3,0.05,-1,-1,0.033771,0.618167
2,1,-1,0.6,0.6,0.3,0.05,-1,-1,0.0391,0.585469
2,1,-1,0.65,0.65,0.3,0.05,-1,-1,0.047093,0.557442
2,1,-1,0.7,0.7,0.3,0.05,-1,-1,0.052803,0.538758
2,1,-1,0.75,0.75,0.3,0.05,-1,-1,0.06308,0.529416
2,1,-1,0.8,0.8,0.3,0.05,-1,-1,0.073737,0.510731
2,1,-1,0.85,0.85,0.3,0.05,-1,-1,0.082491,0.503724
2,1,-1,0.9,0.9,0.3,0.05,-1,-1,0.097716,0.496718
2,1,-1,0.95,0.95,0.3,0.05,-1,-1,0.111799,0.494382
2,1,-1,1.0,1.0,0.3,0.05,-1,-1,0.132353,0.494382
2,1,-1,0.05,0.05,0.35,0.05,-1,-1,0.002941,0.897329
2,1,-1,0.1,0.1,0.35,0.05,-1,-1,0.003425,0.861538
2,1,-1,0.15,0.15,0.35,0.05,-1,-1,0.004394,0.835974
2,1,-1,0.2,0.2,0.35,0.05,-1,-1,0.004879,0.7874
2,1,-1,0.25,0.25,0.35,0.05,-1,-1,0.00827,0.749053
2,1,-1,0.3,0.3,0.35,0.05,-1,-1,0.010207,0.720932
2,1,-1,0.35,0.35,0.35,0.05,-1,-1,0.016021,0.685141
2,1,-1,0.4,0.4,0.35,0.05,-1,-1,0.022318,0.664688
2,1,-1,0.45,0.45,0.35,0.05,-1,-1,0.028616,0.63401
2,1,-1,0.5,0.5,0.35,0.05,-1,-1,0.032976,0.616115
2,1,-1,0.55,0.55,0.35,0.05,-1,-1,0.04218,0.59055
2,1,-1,0.6,0.6,0.35,0.05,-1,-1,0.048962,0.554759
2,1,-1,0.65,0.65,0.35,0.05,-1,-1,0.059135,0.524081
2,1,-1,0.7,0.7,0.35,0.05,-1,-1,0.066401,0.50363
2,1,-1,0.75,0.75,0.35,0.05,-1,-1,0.079481,0.493404
2,1,-1,0.8,0.8,0.35,0.05,-1,-1,0.093045,0.472952
2,1,-1,0.85,0.85,0.35,0.05,-1,-1,0.104187,0.465282
2,1,-1,0.9,0.9,0.35,0.05,-1,-1,0.123564,0.457613
2,1,-1,0.95,0.95,0.35,0.05,-1,-1,0.141488,0.455056
2,1,-1,1.0,1.0,0.35,0.05,-1,-1,0.167647,0.455056
2,1,-1,0.05,0.05,0.4,0.05,-1,-1,0.002941,0.894647
2,1,-1,0.1,0.1,0.4,0.05,-1,-1,0.003598,0.851344
2,1,-1,0.15,0.15,0.4,0.05,-1,-1,0.004913,0.820414
2,1,-1,0.2,0.2,0.4,0.05,-1,-1,0.005571,0.761646
2,1,-1,0.25,0.25,0.4,0.05,-1,-1,0.010173,0.71525
2,1,-1,0.3,0.3,0.4,0.05,-1,-1,0.012803,0.681227
2,1,-1,0.35,0.35,0.4,0.05,-1,-1,0.020692,0.637925
2,1,-1,0.4,0.4,0.4,0.05,-1,-1,0.029239,0.61318
2,1,-1,0.45,0.45,0.4,0.05,-1,-1,0.037785,0.576064
2,1,-1,0.5,0.5,0.4,0.05,-1,-1,0.043702,0.554413
2,1,-1,0.55,0.55,0.4,0.05,-1,-1,0.056194,0.523482
2,1,-1,0.6,0.6,0.4,0.05,-1,-1,0.065398,0.480179
2,1,-1,0.65,0.65,0.4,0.05,-1,-1,0.079204,0.443063
2,1,-1,0.7,0.7,0.4,0.05,-1,-1,0.089066,0.418319
2,1,-1,0.75,0.75,0.4,0.05,-1,-1,0.106817,0.405947
2,1,-1,0.8,0.8,0.4,0.05,-1,-1,0.125225,0.381202
2,1,-1,0.85,0.85,0.4,0.05,-1,-1,0.140346,0.371923
2,1,-1,0.9,0.9,0.4,0.05,-1,-1,0.166644,0.362644
2,1,-1,0.95,0.95,0.4,0.05,-1,-1,0.190969,0.359551
2,1,-1,1.0,1.0,0.4,0.05,-1,-1,0.226471,0.359551
2,1,-1,0.05,0.05,0.45,0.05,-1,-1,0.002941,0.893069
2,1,-1,0.1,0.1,0.45,0.05,-1,-1,0.003728,0.845347
2,1,-1,0.15,0.15,0.45,0.05,-1,-1,0.005303,0.811261
2,1,-1,0.2,0.2,0.45,0.05,-1,-1,0.00609,0.746496
2,1,-1,0.25,0.25,0.45,0.05,-1,-1,0.0116,0.695366
2,1,-1,0.3,0.3,0.45,0.05,-1,-1,0.014749,0.657872
2,1,-1,0.35,0.35,0.45,0.05,-1,-1,0.024195,0.61015
2,1,-1,0.4,0.4,0.45,0.05,-1,-1,0.034429,0.582881
2,1,-1,0.45,0.45,0.45,0.05,-1,-1,0.044662,0.541977
2,1,-1,0.5,0.5,0.45,0.05,-1,-1,0.051747,0.518117
2,1,-1,0.55,0.55,0.45,0.05,-1,-1,0.066704,0.48403
2,1,-1,0.6,0.6,0.45,0.05,-1,-1,0.077725,0.436309
2,1,-1,0.65,0.65,0.45,0.05,-1,-1,0.094256,0.395405
2,1,-1,0.7,0.7,0.45,0.05,-1,-1,0.106064,0.368136
2,1,-1,0.75,0.75,0.45,0.05,-1,-1,0.127318,0.354501
2,1,-1,0.8,0.8,0.45,0.05,-1,-1,0.14936,0.327232
2,1,-1,0.85,0.85,0.45,0.05,-1,-1,0.167465,0.317006
2,1,-1,0.9,0.9,0.45,0.05,-1,-1,0.198953,0.30678
2,1,-1,0.95,0.95,0.45,0.05,-1,-1,0.228079,0.303371
2,1,-1,1.0,1.0,0.45,0.05,-1,-1,0.270588,0.303371
2,1,-1,0.05,0.05,0.5,0.05,-1,-1,0.002941,0.891491
2,1,-1,0.1,0.1,0.5,0.05,-1,-1,0.003944,0.83935
2,1,-1,0.15,0.15,0.5,0.05,-1,-1,0.005952,0.802108
2,1,-1,0.2,0.2,0.5,0.05,-1,-1,0.006955,0.731347
2,1,-1,0.25,0.25,0.5,0.05,-1,-1,0.013979,0.675482
2,1,-1,0.3,0.3,0.5,0.05,-1,-1,0.017993,0.634516
2,1,-1,0.35,0.35,0.5,0.05,-1,-1,0.030035,0.582376
2,1,-1,0.4,0.4,0.5,0.05,-1,-1,0.043079,0.552581
2,1,-1,0.45,0.45,0.5,0.05,-1,-1,0.056124,0.50789
2,1,-1,0.5,0.5,0.5,0.05,-1,-1,0.065156,0.481821
2,1,-1,0.55,0.55,0.5,0.05,-1,-1,0.084221,0.444578
2,1,-1,0.6,0.6,0.5,0.05,-1,-1,0.09827,0.392438
2,1,-1,0.65,0.65,0.5,0.05,-1,-1,0.119342,0.347746
2,1,-1,0.7,0.7,0.5,0.05,-1,-1,0.134394,0.317953
2,1,-1,0.75,0.75,0.5,0.05,-1,-1,0.161488,0.303055
2,1,-1,0.8,0.8,0.5,0.05,-1,-1,0.189585,0.273261
2,1,-1,0.85,0.85,0.5,0.05,-1,-1,0.212665,0.262088
2,1,-1,0.9,0.9,0.5,0.05,-1,-1,0.252803,0.250915
2,1,-1,0.95,0.95,0.5,0.05,-1,-1,0.289931,0.247191
2,1,-1,1.0,1.0,0.5,0.05,-1,-1,0.344118,0.247191
2,1,-1,0.05,0.05,0.55,0.05,-1,-1,0.002941,0.89007
2,1,-1,0.1,0.1,0.55,0.05,-1,-1,0.004239,0.833953
2,1,-1,0.15,0.15,0.55,0.05,-1,-1,0.006834,0.793871
2,1,-1,0.2,0.2,0.55,0.05,-1,-1,0.008131,0.717712
2,1,-1,0.25,0.25,0.55,0.05,-1,-1,0.017214,0.657587
2,1,-1,0.3,0.3,0.55,0.05,-1,-1,0.022405,0.613496
2,1,-1,0.35,0.35,0.55,0.05,-1,-1,0.037976,0.557379
2,1,-1,0.4,0.4,0.55,0.05,-1,-1,0.054844,0.525312
2,1,-1,0.45,0.45,0.55,0.05,-1,-1,0.071713,0.477212
2,1,-1,0.5,0.5,0.55,0.05,-1,-1,0.083391,0.449154
2,1,-1,0.55,0.55,0.55,0.05,-1,-1,0.108045,0.409071
2,1,-1,0.6,0.6,0.55,0.05,-1,-1,0.126211,0.352954
2,1,-1,0.65,0.65,0.55,0.05,-1,-1,0.15346,0.304854
2,1,-1,0.7,0.7,0.55,0.05,-1,-1,0.172924,0.272788
2,1,-1,0.75,0.75,0.55,0.05,-1,-1,0.207959,0.256754
2,1,-1,0.8,0.8,0.55,0.05,-1,-1,0.244291,0.224687
2,1,-1,0.85,0.85,0.55,0.05,-1,-1,0.274135,0.212662
2,1,-1,0.9,0.9,0.55,0.05,-1,-1,0.326038,0.200637
2,1,-1,0.95,0.95,0.55,0.05,-1,-1,0.374049,0.196629
2,1,-1,1.0,1.0,0.55,0.05,-1,-1,0.444118,0.196629
2,1,-1,0.05,0.05,0.6,0.05,-1,-1,0.002941,0.888177
2,1,-1,0.1,0.1,0.6,0.05,-1,-1,0.004489,0.826757
2,1,-1,0.15,0.15,0.6,0.05,-1,-1,0.007587,0.782887
2,1,-1,0.2,0.2,0.6,0.05,-1,-1,0.009135,0.699532
2,1,-1,0.25,0.25,0.6,0.05,-1,-1,0.019974,0.633726
2,1,-1,0.3,0.3,0.6,0.05,-1,-1,0.026168,0.585469
2,1,-1,0.35,0.35,0.6,0.05,-1,-1,0.044749,0.52405
2,1,-1,0.4,0.4,0.6,0.05,-1,-1,0.064879,0.488953
2,1,-1,0.45,0.45,0.6,0.05,-1,-1,0.085008,0.436308
2,1,-1,0.5,0.5,0.6,0.05,-1,-1,0.098945,0.405599
