sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,1,-1,0.05,0.05,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.1,0.1,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.15,0.15,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.2,0.2,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.25,0.25,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.3,0.3,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.35,0.35,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.4,0.4,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.45,0.45,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.5,0.5,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.55,0.55,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.6,0.6,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.65,0.65,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.7,0.7,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.75,0.75,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.8,0.8,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.85,0.85,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.9,0.9,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.95,0.95,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,1.0,1.0,0.05,0.05,-1,-1,0.010946,0.887581
2,1,-1,0.05,0.05,0.1,0.05,-1,-1,0.013128,0.859998
2,1,-1,0.1,0.1,0.1,0.05,-1,-1,0.014886,0.845298
2,1,-1,0.15,0.15,0.1,0.05,-1,-1,0.016281,0.836923
