sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,1,-1,0.05,0.05,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.1,0.1,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.15,0.15,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.2,0.2,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.25,0.25,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.3,0.3,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.35,0.35,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.4,0.4,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.45,0.45,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.5,0.5,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.55,0.55,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.6,0.6,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.65,0.65,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.7,0.7,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.75,0.75,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.8,0.8,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.85,0.85,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.9,0.9,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.95,0.95,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,1.0,1.0,0.05,0.05,-1,-1,0.014232,0.889417
2,1,-1,0.05,0.05,0.1,0.05,-1,-1,0.017529,0.860813
2,1,-1,0.1,0.1,0.1,0.05,-1,-1,0.020147,0.845443
2,1,-1,0.15,0.15,0.1,0.05,-1,-1,0.022218,0.836839
2,1,-1,0.2,0.2,0.1,0.05,-1,-1,0.023713,0.830961
2,1,-1,0.25,0.25,0.1,0.05,-1,-1,0.025273,0.826396
2,1,-1,0.3,0.3,0.1,0.05,-1,-1,0.026527,0.823867
2,1,-1,0.35,0.35,0.1,0.05,-1,-1,0.027419,0.821371
2,1,-1,0.4,0.4,0.1,0.05,-1,-1,0.02844,0.819565
2,1,-1,0.45,0.45,0.1,0.05,-1,-1,0.029192,0.817989
2,1,-1,0.5,0.5,0.1,0.05,-1,-1,0.030065,0.816971
2,1,-1,0.55,0.55,0.1,0.05,-1,-1,0.030715,0.816051
2,1,-1,0.6,0.6,0.1,0.05,-1,-1,0.031393,0.815526
