sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,1,-1,0.05,0.05,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.1,0.1,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.15,0.15,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.2,0.2,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.25,0.25,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.3,0.3,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.35,0.35,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.4,0.4,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.45,0.45,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.5,0.5,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.55,0.55,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.6,0.6,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.65,0.65,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.7,0.7,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.75,0.75,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.8,0.8,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.85,0.85,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.9,0.9,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.95,0.95,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,1.0,1.0,0.05,0.05,-1,-1,0.001786,0.828571
2,1,-1,0.05,0.05,0.1,0.05,-1,-1,0.001786,0.79153
2,1,-1,0.1,0.1,0.1,0.05,-1,-1,0.001824,0.780306
2,1,-1,0.15,0.15,0.1,0.05,-1,-1,0.00185,0.772449
2,1,-1,0.2,0.2,0.1,0.05,-1,-1,0.001875,0.766275
2,1,-1,0.25,0.25,0.1,0.05,-1,-1,0.001901,0.762908
2,1,-1,0.3,0.3,0.1,0.05,-1,-1,0.001914,0.760663
2,1,-1,0.35,0.35,0.1,0.05,-1,-1,0.001926,0.757857
2,1,-1,0.4,0.4,0.1,0.05,-1,-1,0.001939,0.755612
2,1,-1,0.45,0.45,0.1,0.05,-1,-1,0.001977,0.753929
2,1,-1,0.5,0.5,0.1,0.05,-1,-1,0.002028,0.753367
2,1,-1,0.55,0.55,0.1,0.05,-1,-1,0.002067,0.752245
2,1,-1,0.6,0.6,0.1,0.05,-1,-1,0.002143,0.752245
2,1,-1,0.65,0.65,0.1,0.05,-1,-1,0.002169,0.752245
2,1,-1,0.7,0.7,0.1,0.05,-1,-1,0.002207,0.751684
2,1,-1,0.75,0.75,0.1,0.05,-1,-1,0.002232,0.750561
2,1,-1,0.8,0.8,0.1,0.05,-1,-1,0.002271,0.750561
2,1,-1,0.85,0.85,0.1,0.05,-1,-1,0.002309,0.75
2,1,-1,0.9,0.9,0.1,0.05,-1,-1,0.002411,0.75
2,1,-1,0.95,0.95,0.1,0.05,-1,-1,0.002551,0.75
2,1,-1,1.0,1.0,0.1,0.05,-1,-1,0.003571,0.75
2,1,-1,0.05,0.05,0.15,0.05,-1,-1,0.001786,0.744387
2,1,-1,0.1,0.1,0.15,0.05,-1,-1,0.001824,0.718877
2,1,-1,0.15,0.15,0.15,0.05,-1,-1,0.00185,0.70102
2,1,-1,0.2,0.2,0.15,0.05,-1,-1,0.001875,0.68699
2,1,-1,0.25,0.25,0.15,0.05,-1,-1,0.001901,0.679337
2,1,-1,0.3,0.3,0.15,0.05,-1,-1,0.001914,0.674235
2,1,-1,0.35,0.35,0.15,0.05,-1,-1,0.001926,0.667857
2,1,-1,0.4,0.4,0.15,0.05,-1,-1,0.001939,0.662755
2,1,-1,0.45,0.45,0.15,0.05,-1,-1,0.001977,0.658929
2,1,-1,0.5,0.5,0.15,0.05,-1,-1,0.002028,0.657653
2,1,-1,0.55,0.55,0.15,0.05,-1,-1,0.002067,0.655102
2,1,-1,0.6,0.6,0.15,0.05,-1,-1,0.002143,0.655102
2,1,-1,0.65,0.65,0.15,0.05,-1,-1,0.002169,0.655102
2,1,-1,0.7,0.7,0.15,0.05,-1,-1,0.002207,0.653827
2,1,-1,0.75,0.75,0.15,0.05,-1,-1,0.002232,0.651276
2,1,-1,0.8,0.8,0.15,0.05,-1,-1,0.002271,0.651276
2,1,-1,0.85,0.85,0.15,0.05,-1,-1,0.002309,0.65
2,1,-1,0.9,0.9,0.15,0.05,-1,-1,0.002411,0.65
2,1,-1,0.95,0.95,0.15,0.05,-1,-1,0.002551,0.65
2,1,-1,1.0,1.0,0.15,0.05,-1,-1,0.003571,0.65
2,1,-1,0.05,0.05,0.2,0.05,-1,-1,0.001786,0.693877
2,1,-1,0.1,0.1,0.2,0.05,-1,-1,0.001824,0.653061
2,1,-1,0.15,0.15,0.2,0.05,-1,-1,0.00185,0.624489
2,1,-1,0.2,0.2,0.2,0.05,-1,-1,0.001875,0.602041
2,1,-1,0.25,0.25,0.2,0.05,-1,-1,0.001901,0.589796
2,1,-1,0.3,0.3,0.2,0.05,-1,-1,0.001914,0.581632
2,1,-1,0.35,0.35,0.2,0.05,-1,-1,0.001926,0.571428
2,1,-1,0.4,0.4,0.2,0.05,-1,-1,0.001939,0.563265
2,1,-1,0.45,0.45,0.2,0.05,-1,-1,0.001977,0.557143
2,1,-1,0.5,0.5,0.2,0.05,-1,-1,0.002028,0.555102
2,1,-1,0.55,0.55,0.2,0.05,-1,-1,0.002067,0.55102
2,1,-1,0.6,0.6,0.2,0.05,-1,-1,0.002143,0.55102
2,1,-1,0.65,0.65,0.2,0.05,-1,-1,0.002169,0.55102
2,1,-1,0.7,0.7,0.2,0.05,-1,-1,0.002207,0.54898
2,1,-1,0.75,0.75,0.2,0.05,-1,-1,0.002232,0.544898
2,1,-1,0.8,0.8,0.2,0.05,-1,-1,0.002271,0.544898
2,1,-1,0.85,0.85,0.2,0.05,-1,-1,0.002309,0.542857
2,1,-1,0.9,0.9,0.2,0.05,-1,-1,0.002411,0.542857
2,1,-1,0.95,0.95,0.2,0.05,-1,-1,0.002551,0.542857
2,1,-1,1.0,1.0,0.2,0.05,-1,-1,0.003571,0.542857
2,1,-1,0.05,0.05,0.25,0.05,-1,-1,0.001786,0.656836
2,1,-1,0.1,0.1,0.25,0.05,-1,-1,0.001863,0.604796
2,1,-1,0.15,0.15,0.25,0.05,-1,-1,0.001914,0.568367
2,1,-1,0.2,0.2,0.25,0.05,-1,-1,0.001965,0.539745
2,1,-1,0.25,0.25,0.25,0.05,-1,-1,0.002016,0.524133
2,1,-1,0.3,0.3,0.25,0.05,-1,-1,0.002041,0.513725
2,1,-1,0.35,0.35,0.25,0.05,-1,-1,0.002067,0.500714
2,1,-1,0.4,0.4,0.25,0.05,-1,-1,0.002092,0.490307
2,1,-1,0.45,0.45,0.25,0.05,-1,-1,0.002169,0.4825
2,1,-1,0.5,0.5,0.25,0.05,-1,-1,0.002271,0.479898
2,1,-1,0.55,0.55,0.25,0.05,-1,-1,0.002347,0.474694
2,1,-1,0.6,0.6,0.25,0.05,-1,-1,0.0025,0.474694
2,1,-1,0.65,0.65,0.25,0.05,-1,-1,0.002551,0.474694
2,1,-1,0.7,0.7,0.25,0.05,-1,-1,0.002628,0.472092
2,1,-1,0.75,0.75,0.25,0.05,-1,-1,0.002679,0.466888
2,1,-1,0.8,0.8,0.25,0.05,-1,-1,0.002755,0.466888
2,1,-1,0.85,0.85,0.25,0.05,-1,-1,0.002832,0.464286
