sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,2,-1,-1,0.05,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.1,0.1,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.15,0.15,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.2,0.2,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.25,0.25,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.3,0.3,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.35,0.35,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.4,0.4,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.45,0.45,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.5,0.5,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.55,0.55,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.6,0.6,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.65,0.65,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.7,0.7,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.75,0.75,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.8,0.8,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.85,0.85,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.9,0.9,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,0.95,0.95,0.002941,0.910112
-1,1,2,-1,-1,0.05,0.05,1.0,1.0,0.002941,0.910112
-1,1,2,-1,-1,0.1,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.1,0.05,0.1,0.1,0.002941,0.909102
-1,1,2,-1,-1,0.1,0.05,0.15,0.15,0.002941,0.908092
-1,1,2,-1,-1,0.1,0.05,0.2,0.2,0.002941,0.905567
-1,1,2,-1,-1,0.1,0.05,0.25,0.25,0.002941,0.901527
-1,1,2,-1,-1,0.1,0.05,0.3,0.3,0.003114,0.894963
-1,1,2,-1,-1,0.1,0.05,0.35,0.35,0.003356,0.888398
-1,1,2,-1,-1,0.1,0.05,0.4,0.4,0.003806,0.878298
-1,1,2,-1,-1,0.1,0.05,0.45,0.45,0.004187,0.869713
-1,1,2,-1,-1,0.1,0.05,0.5,0.5,0.005156,0.857594
-1,1,2,-1,-1,0.1,0.05,0.55,0.55,0.006574,0.841434
-1,1,2,-1,-1,0.1,0.05,0.6,0.6,0.007855,0.832345
-1,1,2,-1,-1,0.1,0.05,0.65,0.65,0.009516,0.82679
-1,1,2,-1,-1,0.1,0.05,0.7,0.7,0.011073,0.823255
-1,1,2,-1,-1,0.1,0.05,0.75,0.75,0.012457,0.82174
-1,1,2,-1,-1,0.1,0.05,0.8,0.8,0.013356,0.820225
-1,1,2,-1,-1,0.1,0.05,0.85,0.85,0.014152,0.820225
-1,1,2,-1,-1,0.1,0.05,0.9,0.9,0.014533,0.820225
-1,1,2,-1,-1,0.1,0.05,0.95,0.95,0.014671,0.820225
-1,1,2,-1,-1,0.1,0.05,1.0,1.0,0.014706,0.820225
-1,1,2,-1,-1,0.15,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.15,0.05,0.1,0.1,0.002941,0.907966
-1,1,2,-1,-1,0.15,0.05,0.15,0.15,0.002941,0.90582
-1,1,2,-1,-1,0.15,0.05,0.2,0.2,0.002941,0.900454
-1,1,2,-1,-1,0.15,0.05,0.25,0.25,0.002941,0.891869
-1,1,2,-1,-1,0.15,0.05,0.3,0.3,0.003244,0.877919
-1,1,2,-1,-1,0.15,0.05,0.35,0.35,0.003668,0.863969
-1,1,2,-1,-1,0.15,0.05,0.4,0.4,0.004455,0.842507
-1,1,2,-1,-1,0.15,0.05,0.45,0.45,0.005121,0.824264
-1,1,2,-1,-1,0.15,0.05,0.5,0.5,0.006816,0.79851
-1,1,2,-1,-1,0.15,0.05,0.55,0.55,0.009299,0.764171
-1,1,2,-1,-1,0.15,0.05,0.6,0.6,0.01154,0.744855
-1,1,2,-1,-1,0.15,0.05,0.65,0.65,0.014446,0.733051
-1,1,2,-1,-1,0.15,0.05,0.7,0.7,0.017171,0.72554
-1,1,2,-1,-1,0.15,0.05,0.75,0.75,0.019593,0.72232
-1,1,2,-1,-1,0.15,0.05,0.8,0.8,0.021167,0.719101
-1,1,2,-1,-1,0.15,0.05,0.85,0.85,0.02256,0.719101
-1,1,2,-1,-1,0.15,0.05,0.9,0.9,0.023226,0.719101
-1,1,2,-1,-1,0.15,0.05,0.95,0.95,0.023468,0.719101
-1,1,2,-1,-1,0.15,0.05,1.0,1.0,0.023529,0.719101
-1,1,2,-1,-1,0.2,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.2,0.05,0.1,0.1,0.002941,0.907208
-1,1,2,-1,-1,0.2,0.05,0.15,0.15,0.002941,0.904305
-1,1,2,-1,-1,0.2,0.05,0.2,0.2,0.002941,0.897045
-1,1,2,-1,-1,0.2,0.05,0.25,0.25,0.002941,0.885431
-1,1,2,-1,-1,0.2,0.05,0.3,0.3,0.003633,0.866557
-1,1,2,-1,-1,0.2,0.05,0.35,0.35,0.004602,0.847683
-1,1,2,-1,-1,0.2,0.05,0.4,0.4,0.006401,0.818646
-1,1,2,-1,-1,0.2,0.05,0.45,0.45,0.007924,0.793965
-1,1,2,-1,-1,0.2,0.05,0.5,0.5,0.011799,0.759121
-1,1,2,-1,-1,0.2,0.05,0.55,0.55,0.017474,0.712662
-1,1,2,-1,-1,0.2,0.05,0.6,0.6,0.022595,0.686529
-1,1,2,-1,-1,0.2,0.05,0.65,0.65,0.029239,0.670559
-1,1,2,-1,-1,0.2,0.05,0.7,0.7,0.035467,0.660396
-1,1,2,-1,-1,0.2,0.05,0.75,0.75,0.041003,0.656041
-1,1,2,-1,-1,0.2,0.05,0.8,0.8,0.044602,0.651685
-1,1,2,-1,-1,0.2,0.05,0.85,0.85,0.047785,0.651685
-1,1,2,-1,-1,0.2,0.05,0.9,0.9,0.049308,0.651685
-1,1,2,-1,-1,0.2,0.05,0.95,0.95,0.049862,0.651685
-1,1,2,-1,-1,0.2,0.05,1.0,1.0,0.05,0.651685
-1,1,2,-1,-1,0.25,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.25,0.05,0.1,0.1,0.002941,0.906198
-1,1,2,-1,-1,0.25,0.05,0.15,0.15,0.002941,0.902285
-1,1,2,-1,-1,0.25,0.05,0.2,0.2,0.002941,0.892501
-1,1,2,-1,-1,0.25,0.05,0.25,0.25,0.002941,0.876846
-1,1,2,-1,-1,0.25,0.05,0.3,0.3,0.004282,0.851408
-1,1,2,-1,-1,0.25,0.05,0.35,0.35,0.006159,0.825969
-1,1,2,-1,-1,0.25,0.05,0.4,0.4,0.009645,0.786832
-1,1,2,-1,-1,0.25,0.05,0.45,0.45,0.012595,0.753566
-1,1,2,-1,-1,0.25,0.05,0.5,0.5,0.020104,0.706603
-1,1,2,-1,-1,0.25,0.05,0.55,0.55,0.031099,0.643984
-1,1,2,-1,-1,0.25,0.05,0.6,0.6,0.041021,0.608762
-1,1,2,-1,-1,0.25,0.05,0.65,0.65,0.053893,0.587237
-1,1,2,-1,-1,0.25,0.05,0.7,0.7,0.06596,0.573539
-1,1,2,-1,-1,0.25,0.05,0.75,0.75,0.076687,0.567668
-1,1,2,-1,-1,0.25,0.05,0.8,0.8,0.083659,0.561798
-1,1,2,-1,-1,0.25,0.05,0.85,0.85,0.089827,0.561798
-1,1,2,-1,-1,0.25,0.05,0.9,0.9,0.092777,0.561798
-1,1,2,-1,-1,0.25,0.05,0.95,0.95,0.09385,0.561798
-1,1,2,-1,-1,0.25,0.05,1.0,1.0,0.094118,0.561798
-1,1,2,-1,-1,0.3,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.3,0.05,0.1,0.1,0.002941,0.905441
-1,1,2,-1,-1,0.3,0.05,0.15,0.15,0.002941,0.90077
-1,1,2,-1,-1,0.3,0.05,0.2,0.2,0.002941,0.889092
-1,1,2,-1,-1,0.3,0.05,0.25,0.25,0.002941,0.870407
-1,1,2,-1,-1,0.3,0.05,0.3,0.3,0.004844,0.840045
-1,1,2,-1,-1,0.3,0.05,0.35,0.35,0.007508,0.809683
-1,1,2,-1,-1,0.3,0.05,0.4,0.4,0.012457,0.762971
-1,1,2,-1,-1,0.3,0.05,0.45,0.45,0.016643,0.723267
-1,1,2,-1,-1,0.3,0.05,0.5,0.5,0.027301,0.667213
-1,1,2,-1,-1,0.3,0.05,0.55,0.55,0.042907,0.592476
-1,1,2,-1,-1,0.3,0.05,0.6,0.6,0.05699,0.550435
-1,1,2,-1,-1,0.3,0.05,0.65,0.65,0.07526,0.524744
-1,1,2,-1,-1,0.3,0.05,0.7,0.7,0.092387,0.508395
-1,1,2,-1,-1,0.3,0.05,0.75,0.75,0.107613,0.501389
-1,1,2,-1,-1,0.3,0.05,0.8,0.8,0.117509,0.494382
-1,1,2,-1,-1,0.3,0.05,0.85,0.85,0.126263,0.494382
-1,1,2,-1,-1,0.3,0.05,0.9,0.9,0.13045,0.494382
-1,1,2,-1,-1,0.3,0.05,0.95,0.95,0.131972,0.494382
-1,1,2,-1,-1,0.3,0.05,1.0,1.0,0.132353,0.494382
-1,1,2,-1,-1,0.35,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.35,0.05,0.1,0.1,0.002941,0.904999
-1,1,2,-1,-1,0.35,0.05,0.15,0.15,0.002941,0.899886
-1,1,2,-1,-1,0.35,0.05,0.2,0.2,0.002941,0.887103
-1,1,2,-1,-1,0.35,0.05,0.25,0.25,0.002941,0.866651
-1,1,2,-1,-1,0.35,0.05,0.3,0.3,0.005363,0.833417
-1,1,2,-1,-1,0.35,0.05,0.35,0.35,0.008754,0.800183
-1,1,2,-1,-1,0.35,0.05,0.4,0.4,0.015052,0.749053
-1,1,2,-1,-1,0.35,0.05,0.45,0.45,0.02038,0.705593
-1,1,2,-1,-1,0.35,0.05,0.5,0.5,0.033944,0.644236
-1,1,2,-1,-1,0.35,0.05,0.55,0.55,0.053806,0.562429
-1,1,2,-1,-1,0.35,0.05,0.6,0.6,0.07173,0.516412
-1,1,2,-1,-1,0.35,0.05,0.65,0.65,0.094983,0.488291
-1,1,2,-1,-1,0.35,0.05,0.7,0.7,0.116782,0.470395
-1,1,2,-1,-1,0.35,0.05,0.75,0.75,0.136159,0.462726
-1,1,2,-1,-1,0.35,0.05,0.8,0.8,0.148754,0.455056
-1,1,2,-1,-1,0.35,0.05,0.85,0.85,0.159896,0.455056
-1,1,2,-1,-1,0.35,0.05,0.9,0.9,0.165225,0.455056
-1,1,2,-1,-1,0.35,0.05,0.95,0.95,0.167163,0.455056
-1,1,2,-1,-1,0.35,0.05,1.0,1.0,0.167647,0.455056
-1,1,2,-1,-1,0.4,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.4,0.05,0.1,0.1,0.002941,0.903926
-1,1,2,-1,-1,0.4,0.05,0.15,0.15,0.002941,0.89774
-1,1,2,-1,-1,0.4,0.05,0.2,0.2,0.002941,0.882275
-1,1,2,-1,-1,0.4,0.05,0.25,0.25,0.002941,0.85753
-1,1,2,-1,-1,0.4,0.05,0.3,0.3,0.006228,0.817321
-1,1,2,-1,-1,0.4,0.05,0.35,0.35,0.01083,0.777111
-1,1,2,-1,-1,0.4,0.05,0.4,0.4,0.019377,0.71525
-1,1,2,-1,-1,0.4,0.05,0.45,0.45,0.026609,0.662669
-1,1,2,-1,-1,0.4,0.05,0.5,0.5,0.045017,0.588436
-1,1,2,-1,-1,0.4,0.05,0.55,0.55,0.071972,0.489459
-1,1,2,-1,-1,0.4,0.05,0.6,0.6,0.096298,0.433784
-1,1,2,-1,-1,0.4,0.05,0.65,0.65,0.127855,0.399761
-1,1,2,-1,-1,0.4,0.05,0.7,0.7,0.15744,0.378109
-1,1,2,-1,-1,0.4,0.05,0.75,0.75,0.183737,0.36883
-1,1,2,-1,-1,0.4,0.05,0.8,0.8,0.200831,0.359551
-1,1,2,-1,-1,0.4,0.05,0.85,0.85,0.215952,0.359551
-1,1,2,-1,-1,0.4,0.05,0.9,0.9,0.223184,0.359551
-1,1,2,-1,-1,0.4,0.05,0.95,0.95,0.225814,0.359551
-1,1,2,-1,-1,0.4,0.05,1.0,1.0,0.226471,0.359551
-1,1,2,-1,-1,0.45,0.05,0.05,0.05,0.002941,0.910112
-1,1,2,-1,-1,0.45,0.05,0.1,0.1,0.002941,0.903295
-1,1,2,-1,-1,0.45,0.05,0.15,0.15,0.002941,0.896477
-1,1,2,-1,-1,0.45,0.05,0.2,0.2,0.002941,0.879434
-1,1,2,-1,-1,0.45,0.05,0.25,0.25,0.002941,0.852165
-1,1,2,-1,-1,0.45,0.05,0.3,0.3,0.006877,0.807852
-1,1,2,-1,-1,0.45,0.05,0.35,0.35,0.012387,0.76354
-1,1,2,-1,-1,0.45,0.05,0.4,0.4,0.022621,0.695366
-1,1,2,-1,-1,0.45,0.05,0.45,0.45,0.03128,0.63742
-1,1,2,-1,-1,0.45,0.05,0.5,0.5,0.053322,0.555611
-1,1,2,-1,-1,0.45,0.05,0.55,0.55,0.085597,0.446535
-1,1,2,-1,-1,0.45,0.05,0.6,0.6,0.114723,0.385178
-1,1,2,-1,-1,0.45,0.05,0.65,0.65,0.152509,0.347684
-1,1,2,-1,-1,0.45,0.05,0.7,0.7,0.187932,0.323823
-1,1,2,-1,-1,0.45,0.05,0.75,0.75,0.21942,0.313597
-1,1,2,-1,-1,0.45,0.05,0.8,0.8,0.239887,0.303371
