sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,2,-1,-1,0.05,0.05,0.05,0.05,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.1,0.1,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.15,0.15,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.2,0.2,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.25,0.25,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.3,0.3,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.35,0.35,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.4,0.4,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.45,0.45,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.5,0.5,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.55,0.55,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.6,0.6,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.65,0.65,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.7,0.7,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.75,0.75,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.8,0.8,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.85,0.85,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.9,0.9,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,0.95,0.95,0.010946,0.887581
-1,1,2,-1,-1,0.05,0.05,1.0,1.0,0.010946,0.887581
-1,1,2,-1,-1,0.1,0.05,0.05,0.05,0.010951,0.886234
-1,1,2,-1,-1,0.1,0.05,0.1,0.1,0.011016,0.88275
-1,1,2,-1,-1,0.1,0.05,0.15,0.15,0.011177,0.878416
-1,1,2,-1,-1,0.1,0.05,0.2,0.2,0.011407,0.873819
-1,1,2,-1,-1,0.1,0.05,0.25,0.25,0.011707,0.86846
-1,1,2,-1,-1,0.1,0.05,0.3,0.3,0.012206,0.862106
-1,1,2,-1,-1,0.1,0.05,0.35,0.35,0.012844,0.856045
-1,1,2,-1,-1,0.1,0.05,0.4,0.4,0.013632,0.850159
-1,1,2,-1,-1,0.1,0.05,0.45,0.45,0.014635,0.843512
