sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,2,-1,-1,0.05,0.05,0.05,0.05,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.1,0.1,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.15,0.15,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.2,0.2,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.25,0.25,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.3,0.3,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.35,0.35,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.4,0.4,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.45,0.45,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.5,0.5,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.55,0.55,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.6,0.6,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.65,0.65,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.7,0.7,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.75,0.75,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.8,0.8,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.85,0.85,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.9,0.9,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,0.95,0.95,0.014232,0.889417
-1,1,2,-1,-1,0.05,0.05,1.0,1.0,0.014232,0.889417
-1,1,2,-1,-1,0.1,0.05,0.05,0.05,0.014241,0.888071
-1,1,2,-1,-1,0.1,0.05,0.1,0.1,0.014353,0.884392
-1,1,2,-1,-1,0.1,0.05,0.15,0.15,0.014631,0.88009
-1,1,2,-1,-1,0.1,0.05,0.2,0.2,0.015031,0.87546
-1,1,2,-1,-1,0.1,0.05,0.25,0.25,0.015532,0.870304
-1,1,2,-1,-1,0.1,0.05,0.3,0.3,0.016331,0.863966
-1,1,2,-1,-1,0.1,0.05,0.35,0.35,0.017361,0.858054
-1,1,2,-1,-1,0.1,0.05,0.4,0.4,0.018606,0.852471
-1,1,2,-1,-1,0.1,0.05,0.45,0.45,0.02024,0.846002
-1,1,2,-1,-1,0.1,0.05,0.5,0.5,0.023379,0.836314
-1,1,2,-1,-1,0.1,0.05,0.55,0.55,0.025236,0.830271
-1,1,2,-1,-1,0.1,0.05,0.6,0.6,0.027112,0.825312
-1,1,2,-1,-1,0.1,0.05,0.65,0.65,0.02883,0.821732
-1,1,2,-1,-1,0.1,0.05,0.7,0.7,0.030492,0.818941
-1,1,2,-1,-1,0.1,0.05,0.75,0.75,0.031681,0.817036
