sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,1,2,-1,-1,0.05,0.05,0.05,0.05,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.1,0.1,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.15,0.15,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.2,0.2,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.25,0.25,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.3,0.3,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.35,0.35,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.4,0.4,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.45,0.45,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.5,0.5,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.55,0.55,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.6,0.6,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.65,0.65,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.7,0.7,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.75,0.75,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.8,0.8,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.85,0.85,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.9,0.9,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,0.95,0.95,0.001786,0.828571
-1,1,2,-1,-1,0.05,0.05,1.0,1.0,0.001786,0.828571
-1,1,2,-1,-1,0.1,0.05,0.05,0.05,0.001786,0.825765
-1,1,2,-1,-1,0.1,0.05,0.1,0.1,0.001786,0.822959
-1,1,2,-1,-1,0.1,0.05,0.15,0.15,0.001786,0.81454
-1,1,2,-1,-1,0.1,0.05,0.2,0.2,0.001786,0.808367
-1,1,2,-1,-1,0.1,0.05,0.25,0.25,0.001792,0.798265
-1,1,2,-1,-1,0.1,0.05,0.3,0.3,0.001799,0.792092
-1,1,2,-1,-1,0.1,0.05,0.35,0.35,0.001802,0.784234
-1,1,2,-1,-1,0.1,0.05,0.4,0.4,0.001802,0.778061
-1,1,2,-1,-1,0.1,0.05,0.45,0.45,0.001802,0.770765
-1,1,2,-1,-1,0.1,0.05,0.5,0.5,0.001815,0.76852
-1,1,2,-1,-1,0.1,0.05,0.55,0.55,0.001824,0.762908
-1,1,2,-1,-1,0.1,0.05,0.6,0.6,0.001837,0.75898
-1,1,2,-1,-1,0.1,0.05,0.65,0.65,0.001859,0.756735
-1,1,2,-1,-1,0.1,0.05,0.7,0.7,0.001888,0.755612
-1,1,2,-1,-1,0.1,0.05,0.75,0.75,0.001933,0.752245
-1,1,2,-1,-1,0.1,0.05,0.8,0.8,0.002025,0.751684
