sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.05,0.05,0.0,1.0
-1,-1,1,-1,-1,-1,-1,0.1,0.1,0.0,0.988764
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.0,0.977528
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.0,0.949438
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.0,0.904494
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.014706,0.831461
-1,-1,1,-1,-1,-1,-1,0.35,0.35,0.035294,0.758427
-1,-1,1,-1,-1,-1,-1,0.4,0.4,0.073529,0.646067
-1,-1,1,-1,-1,-1,-1,0.45,0.45,0.105882,0.550562
-1,-1,1,-1,-1,-1,-1,0.5,0.5,0.188235,0.41573
-1,-1,1,-1,-1,-1,-1,0.55,0.55,0.308824,0.235955
-1,-1,1,-1,-1,-1,-1,0.6,0.6,0.417647,0.134831
-1,-1,1,-1,-1,-1,-1,0.65,0.65,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.7,0.7,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.75,0.75,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.8,0.8,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.85,0.85,0.952941,0.0
-1,-1,1,-1,-1,-1,-1,0.9,0.9,0.985294,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,0.997059,0.0
-1,-1,1,-1,-1,-1,-1,1.0,1.0,1.0,0.0
