sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.05,0.05,0.0,0.964286
-1,-1,1,-1,-1,-1,-1,0.1,0.1,0.0,0.928571
-1,-1,1,-1,-1,-1,-1,0.15,0.15,0.0,0.821429
-1,-1,1,-1,-1,-1,-1,0.2,0.2,0.0,0.742857
-1,-1,1,-1,-1,-1,-1,0.25,0.25,0.003571,0.614286
-1,-1,1,-1,-1,-1,-1,0.3,0.3,0.007143,0.535714
-1,-1,1,-1,-1,-1,-1,0.35,0.35,0.008929,0.435714
-1,-1,1,-1,-1,-1,-1,0.4,0.4,0.008929,0.357143
-1,-1,1,-1,-1,-1,-1,0.45,0.45,0.008929,0.264286
-1,-1,1,-1,-1,-1,-1,0.5,0.5,0.016071,0.235714
-1,-1,1,-1,-1,-1,-1,0.55,0.55,0.021429,0.164286
-1,-1,1,-1,-1,-1,-1,0.6,0.6,0.028571,0.114286
-1,-1,1,-1,-1,-1,-1,0.65,0.65,0.041071,0.085714
-1,-1,1,-1,-1,-1,-1,0.7,0.7,0.057143,0.071429
-1,-1,1,-1,-1,-1,-1,0.75,0.75,0.082143,0.028571
-1,-1,1,-1,-1,-1,-1,0.8,0.8,0.133929,0.021429
-1,-1,1,-1,-1,-1,-1,0.85,0.85,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.9,0.9,0.255357,0.007143
-1,-1,1,-1,-1,-1,-1,0.95,0.95,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,1.0,1.0,1.0,0.0
