sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,-1,1,0.05,0.05,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.1,0.1,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.15,0.15,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.2,0.2,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.25,0.25,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.3,0.3,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.35,0.35,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.4,0.4,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.45,0.45,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.5,0.5,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.55,0.55,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.6,0.6,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.65,0.65,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.7,0.7,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.75,0.75,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.8,0.8,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.85,0.85,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.9,0.9,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.95,0.95,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,1.0,1.0,-1,-1,0.05,0.05,0.0,1.0
2,-1,1,0.05,0.05,-1,-1,0.1,0.05,0.0,0.999684
2,-1,1,0.1,0.1,-1,-1,0.1,0.05,0.0,0.998801
2,-1,1,0.15,0.15,-1,-1,0.1,0.05,0.0,0.998169
2,-1,1,0.2,0.2,-1,-1,0.1,0.05,0.0,0.99697
2,-1,1,0.25,0.25,-1,-1,0.1,0.05,0.0,0.996023
2,-1,1,0.3,0.3,-1,-1,0.1,0.05,0.0,0.995329
2,-1,1,0.35,0.35,-1,-1,0.1,0.05,0.0,0.994445
2,-1,1,0.4,0.4,-1,-1,0.1,0.05,0.0,0.99394
2,-1,1,0.45,0.45,-1,-1,0.1,0.05,0.0,0.993183
