sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,-1,1,0.05,0.05,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.1,0.1,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.15,0.15,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.2,0.2,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.25,0.25,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.3,0.3,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.35,0.35,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.4,0.4,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.45,0.45,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.5,0.5,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.55,0.55,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.6,0.6,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.65,0.65,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.7,0.7,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.75,0.75,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.8,0.8,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.85,0.85,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.9,0.9,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.95,0.95,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,1.0,1.0,-1,-1,0.05,0.05,0.000304,0.982529
2,-1,1,0.05,0.05,-1,-1,0.1,0.05,0.000756,0.96636
2,-1,1,0.1,0.1,-1,-1,0.1,0.05,0.001119,0.957743
2,-1,1,0.15,0.15,-1,-1,0.1,0.05,0.001408,0.952834
2,-1,1,0.2,0.2,-1,-1,0.1,0.05,0.001617,0.949246
2,-1,1,0.25,0.25,-1,-1,0.1,0.05,0.001842,0.9465
2,-1,1,0.3,0.3,-1,-1,0.1,0.05,0.00202,0.944921
2,-1,1,0.35,0.35,-1,-1,0.1,0.05,0.002158,0.94329
2,-1,1,0.4,0.4,-1,-1,0.1,0.05,0.002316,0.94214
2,-1,1,0.45,0.45,-1,-1,0.1,0.05,0.002439,0.941059
2,-1,1,0.5,0.5,-1,-1,0.1,0.05,0.002576,0.940389
2,-1,1,0.55,0.55,-1,-1,0.1,0.05,0.002693,0.939703
2,-1,1,0.6,0.6,-1,-1,0.1,0.05,0.002811,0.939188
2,-1,1,0.65,0.65,-1,-1,0.1,0.05,0.002929,0.938827
2,-1,1,0.7,0.7,-1,-1,0.1,0.05,0.003016,0.938415
2,-1,1,0.75,0.75,-1,-1,0.1,0.05,0.003128,0.938158
2,-1,1,0.8,0.8,-1,-1,0.1,0.05,0.003218,0.937746
2,-1,1,0.85,0.85,-1,-1,0.1,0.05,0.003317,0.937557
2,-1,1,0.9,0.9,-1,-1,0.1,0.05,0.003438,0.937437
2,-1,1,0.95,0.95,-1,-1,0.1,0.05,0.003587,0.937351
2,-1,1,1.0,1.0,-1,-1,0.1,0.05,0.003953,0.937334
2,-1,1,0.05,0.05,-1,-1,0.15,0.05,0.001884,0.94625
2,-1,1,0.1,0.1,-1,-1,0.15,0.05,0.003157,0.926916
2,-1,1,0.15,0.15,-1,-1,0.15,0.05,0.004167,0.915901
2,-1,1,0.2,0.2,-1,-1,0.15,0.05,0.004897,0.907852
2,-1,1,0.25,0.25,-1,-1,0.15,0.05,0.005685,0.90169
2,-1,1,0.3,0.3,-1,-1,0.15,0.05,0.006308,0.898147
2,-1,1,0.35,0.35,-1,-1,0.15,0.05,0.006794,0.894488
2,-1,1,0.4,0.4,-1,-1,0.15,0.05,0.007346,0.891908
2,-1,1,0.45,0.45,-1,-1,0.15,0.05,0.007777,0.889481
2,-1,1,0.5,0.5,-1,-1,0.15,0.05,0.008254,0.887979
2,-1,1,0.55,0.55,-1,-1,0.15,0.05,0.008663,0.886439
2,-1,1,0.6,0.6,-1,-1,0.15,0.05,0.009077,0.885283
2,-1,1,0.65,0.65,-1,-1,0.15,0.05,0.009491,0.884475
2,-1,1,0.7,0.7,-1,-1,0.15,0.05,0.009794,0.88355
2,-1,1,0.75,0.75,-1,-1,0.15,0.05,0.010185,0.882973
2,-1,1,0.8,0.8,-1,-1,0.15,0.05,0.010501,0.882048
2,-1,1,0.85,0.85,-1,-1,0.15,0.05,0.010848,0.881625
2,-1,1,0.9,0.9,-1,-1,0.15,0.05,0.011271,0.881355
2,-1,1,0.95,0.95,-1,-1,0.15,0.05,0.011792,0.881163
2,-1,1,1.0,1.0,-1,-1,0.15,0.05,0.013074,0.881124
2,-1,1,0.05,0.05,-1,-1,0.2,0.05,0.003502,0.924917
2,-1,1,0.1,0.1,-1,-1,0.2,0.05,0.006078,0.894215
2,-1,1,0.15,0.15,-1,-1,0.2,0.05,0.008123,0.876723
2,-1,1,0.2,0.2,-1,-1,0.2,0.05,0.0096,0.863941
2,-1,1,0.25,0.25,-1,-1,0.2,0.05,0.011195,0.854155
2,-1,1,0.3,0.3,-1,-1,0.2,0.05,0.012456,0.848528
2,-1,1,0.35,0.35,-1,-1,0.2,0.05,0.013438,0.842718
2,-1,1,0.4,0.4,-1,-1,0.2,0.05,0.014555,0.838621
2,-1,1,0.45,0.45,-1,-1,0.2,0.05,0.015428,0.834768
2,-1,1,0.5,0.5,-1,-1,0.2,0.05,0.016392,0.832382
2,-1,1,0.55,0.55,-1,-1,0.2,0.05,0.017221,0.829936
2,-1,1,0.6,0.6,-1,-1,0.2,0.05,0.018059,0.828101
2,-1,1,0.65,0.65,-1,-1,0.2,0.05,0.018897,0.826817
2,-1,1,0.7,0.7,-1,-1,0.2,0.05,0.019509,0.825349
2,-1,1,0.75,0.75,-1,-1,0.2,0.05,0.020302,0.824432
2,-1,1,0.8,0.8,-1,-1,0.2,0.05,0.020941,0.822964
2,-1,1,0.85,0.85,-1,-1,0.2,0.05,0.021644,0.822291
2,-1,1,0.9,0.9,-1,-1,0.2,0.05,0.0225,0.821863
2,-1,1,0.95,0.95,-1,-1,0.2,0.05,0.023554,0.821557
2,-1,1,1.0,1.0,-1,-1,0.2,0.05,0.026148,0.821496
2,-1,1,0.05,0.05,-1,-1,0.25,0.05,0.005609,0.900051
2,-1,1,0.1,0.1,-1,-1,0.25,0.05,0.009882,0.856098
2,-1,1,0.15,0.15,-1,-1,0.25,0.05,0.013274,0.831057
2,-1,1,0.2,0.2,-1,-1,0.25,0.05,0.015725,0.812758
2,-1,1,0.25,0.25,-1,-1,0.25,0.05,0.018369,0.798749
2,-1,1,0.3,0.3,-1,-1,0.25,0.05,0.020461,0.790694
2,-1,1,0.35,0.35,-1,-1,0.25,0.05,0.02209,0.782376
2,-1,1,0.4,0.4,-1,-1,0.25,0.05,0.023943,0.77651
2,-1,1,0.45,0.45,-1,-1,0.25,0.05,0.025392,0.770994
2,-1,1,0.5,0.5,-1,-1,0.25,0.05,0.026991,0.767579
2,-1,1,0.55,0.55,-1,-1,0.25,0.05,0.028366,0.764077
2,-1,1,0.6,0.6,-1,-1,0.25,0.05,0.029756,0.76145
2,-1,1,0.65,0.65,-1,-1,0.25,0.05,0.031145,0.759611
2,-1,1,0.7,0.7,-1,-1,0.25,0.05,0.032161,0.75751
2,-1,1,0.75,0.75,-1,-1,0.25,0.05,0.033476,0.756197
2,-1,1,0.8,0.8,-1,-1,0.25,0.05,0.034537,0.754095
2,-1,1,0.85,0.85,-1,-1,0.25,0.05,0.035703,0.753132
2,-1,1,0.9,0.9,-1,-1,0.25,0.05,0.037122,0.752519
2,-1,1,0.95,0.95,-1,-1,0.25,0.05,0.038871,0.752082
2,-1,1,1.0,1.0,-1,-1,0.25,0.05,0.043174,0.751994
2,-1,1,0.05,0.05,-1,-1,0.3,0.05,0.009107,0.870565
2,-1,1,0.1,0.1,-1,-1,0.3,0.05,0.0162,0.810899
2,-1,1,0.15,0.15,-1,-1,0.3,0.05,0.021829,0.776906
2,-1,1,0.2,0.2,-1,-1,0.3,0.05,0.025896,0.752065
2,-1,1,0.25,0.25,-1,-1,0.3,0.05,0.030285,0.733048
2,-1,1,0.3,0.3,-1,-1,0.3,0.05,0.033757,0.722113
2,-1,1,0.35,0.35,-1,-1,0.3,0.05,0.03646,0.710821
2,-1,1,0.4,0.4,-1,-1,0.3,0.05,0.039535,0.702858
2,-1,1,0.45,0.45,-1,-1,0.3,0.05,0.04194,0.69537
2,-1,1,0.5,0.5,-1,-1,0.3,0.05,0.044594,0.690734
2,-1,1,0.55,0.55,-1,-1,0.3,0.05,0.046875,0.68598
2,-1,1,0.6,0.6,-1,-1,0.3,0.05,0.049181,0.682415
2,-1,1,0.65,0.65,-1,-1,0.3,0.05,0.051487,0.679919
2,-1,1,0.7,0.7,-1,-1,0.3,0.05,0.053174,0.677066
2,-1,1,0.75,0.75,-1,-1,0.3,0.05,0.055356,0.675283
2,-1,1,0.8,0.8,-1,-1,0.3,0.05,0.057117,0.672431
2,-1,1,0.85,0.85,-1,-1,0.3,0.05,0.059051,0.671123
2,-1,1,0.9,0.9,-1,-1,0.3,0.05,0.061407,0.670291
2,-1,1,0.95,0.95,-1,-1,0.3,0.05,0.064308,0.669697
2,-1,1,1.0,1.0,-1,-1,0.3,0.05,0.07145,0.669578
2,-1,1,0.05,0.05,-1,-1,0.35,0.05,0.013584,0.842439
2,-1,1,0.1,0.1,-1,-1,0.35,0.05,0.024283,0.767784
2,-1,1,0.15,0.15,-1,-1,0.35,0.05,0.032775,0.725251
2,-1,1,0.2,0.2,-1,-1,0.35,0.05,0.03891,0.69417
2,-1,1,0.25,0.25,-1,-1,0.35,0.05,0.045532,0.670375
2,-1,1,0.3,0.3,-1,-1,0.35,0.05,0.050769,0.656693
2,-1,1,0.35,0.35,-1,-1,0.35,0.05,0.054847,0.642565
2,-1,1,0.4,0.4,-1,-1,0.35,0.05,0.059485,0.632602
2,-1,1,0.45,0.45,-1,-1,0.35,0.05,0.063114,0.623232
2,-1,1,0.5,0.5,-1,-1,0.35,0.05,0.067117,0.617432
2,-1,1,0.55,0.55,-1,-1,0.35,0.05,0.070558,0.611484
