sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,-1,1,0.05,0.05,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.1,0.1,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.15,0.15,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.2,0.2,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.25,0.25,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.3,0.3,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.35,0.35,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.4,0.4,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.45,0.45,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.5,0.5,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.55,0.55,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.6,0.6,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.65,0.65,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.7,0.7,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.75,0.75,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.8,0.8,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.85,0.85,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.9,0.9,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.95,0.95,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,1.0,1.0,-1,-1,0.05,0.05,0.000419,0.982289
2,-1,1,0.05,0.05,-1,-1,0.1,0.05,0.001165,0.964086
2,-1,1,0.1,0.1,-1,-1,0.1,0.05,0.001758,0.954306
2,-1,1,0.15,0.15,-1,-1,0.1,0.05,0.002227,0.948831
2,-1,1,0.2,0.2,-1,-1,0.1,0.05,0.002566,0.94509
2,-1,1,0.25,0.25,-1,-1,0.1,0.05,0.002919,0.942185
2,-1,1,0.3,0.3,-1,-1,0.1,0.05,0.003203,0.940576
2,-1,1,0.35,0.35,-1,-1,0.1,0.05,0.003405,0.938987
2,-1,1,0.4,0.4,-1,-1,0.1,0.05,0.003636,0.937838
2,-1,1,0.45,0.45,-1,-1,0.1,0.05,0.003806,0.936835
2,-1,1,0.5,0.5,-1,-1,0.1,0.05,0.004004,0.936187
2,-1,1,0.55,0.55,-1,-1,0.1,0.05,0.004151,0.935602
2,-1,1,0.6,0.6,-1,-1,0.1,0.05,0.004305,0.935267
2,-1,1,0.65,0.65,-1,-1,0.1,0.05,0.004452,0.935079
2,-1,1,0.7,0.7,-1,-1,0.1,0.05,0.004557,0.934766
2,-1,1,0.75,0.75,-1,-1,0.1,0.05,0.004681,0.934578
2,-1,1,0.8,0.8,-1,-1,0.1,0.05,0.004765,0.934243
2,-1,1,0.85,0.85,-1,-1,0.1,0.05,0.004874,0.934097
2,-1,1,0.9,0.9,-1,-1,0.1,0.05,0.004973,0.934014
2,-1,1,0.95,0.95,-1,-1,0.1,0.05,0.005118,0.93393
2,-1,1,1.0,1.0,-1,-1,0.1,0.05,0.005442,0.933909
2,-1,1,0.05,0.05,-1,-1,0.15,0.05,0.003031,0.942796
2,-1,1,0.1,0.1,-1,-1,0.15,0.05,0.005107,0.921576
2,-1,1,0.15,0.15,-1,-1,0.15,0.05,0.006748,0.909696
2,-1,1,0.2,0.2,-1,-1,0.15,0.05,0.007932,0.90158
2,-1,1,0.25,0.25,-1,-1,0.15,0.05,0.009169,0.895277
2,-1,1,0.3,0.3,-1,-1,0.15,0.05,0.010162,0.891786
2,-1,1,0.35,0.35,-1,-1,0.15,0.05,0.010868,0.88834
2,-1,1,0.4,0.4,-1,-1,0.15,0.05,0.011678,0.885846
2,-1,1,0.45,0.45,-1,-1,0.15,0.05,0.012274,0.88367
2,-1,1,0.5,0.5,-1,-1,0.15,0.05,0.012966,0.882264
2,-1,1,0.55,0.55,-1,-1,0.15,0.05,0.013481,0.880995
2,-1,1,0.6,0.6,-1,-1,0.15,0.05,0.014018,0.880269
2,-1,1,0.65,0.65,-1,-1,0.15,0.05,0.014533,0.879861
2,-1,1,0.7,0.7,-1,-1,0.15,0.05,0.014901,0.879181
2,-1,1,0.75,0.75,-1,-1,0.15,0.05,0.015335,0.878773
2,-1,1,0.8,0.8,-1,-1,0.15,0.05,0.015629,0.878047
2,-1,1,0.85,0.85,-1,-1,0.15,0.05,0.016012,0.87773
2,-1,1,0.9,0.9,-1,-1,0.15,0.05,0.016358,0.877549
2,-1,1,0.95,0.95,-1,-1,0.15,0.05,0.016866,0.877367
2,-1,1,1.0,1.0,-1,-1,0.15,0.05,0.017999,0.877322
2,-1,1,0.05,0.05,-1,-1,0.2,0.05,0.005706,0.91988
2,-1,1,0.1,0.1,-1,-1,0.2,0.05,0.009906,0.886347
2,-1,1,0.15,0.15,-1,-1,0.2,0.05,0.013227,0.867574
2,-1,1,0.2,0.2,-1,-1,0.2,0.05,0.015625,0.854749
2,-1,1,0.25,0.25,-1,-1,0.2,0.05,0.018127,0.844789
2,-1,1,0.3,0.3,-1,-1,0.2,0.05,0.020137,0.839272
2,-1,1,0.35,0.35,-1,-1,0.2,0.05,0.021567,0.833826
2,-1,1,0.4,0.4,-1,-1,0.2,0.05,0.023205,0.829886
2,-1,1,0.45,0.45,-1,-1,0.2,0.05,0.024411,0.826446
2,-1,1,0.5,0.5,-1,-1,0.2,0.05,0.025811,0.824225
2,-1,1,0.55,0.55,-1,-1,0.2,0.05,0.026854,0.822219
2,-1,1,0.6,0.6,-1,-1,0.2,0.05,0.027941,0.821072
2,-1,1,0.65,0.65,-1,-1,0.2,0.05,0.028983,0.820427
2,-1,1,0.7,0.7,-1,-1,0.2,0.05,0.029728,0.819353
2,-1,1,0.75,0.75,-1,-1,0.2,0.05,0.030607,0.818708
2,-1,1,0.8,0.8,-1,-1,0.2,0.05,0.031203,0.817561
2,-1,1,0.85,0.85,-1,-1,0.2,0.05,0.031977,0.81706
2,-1,1,0.9,0.9,-1,-1,0.2,0.05,0.032677,0.816773
2,-1,1,0.95,0.95,-1,-1,0.2,0.05,0.033705,0.816487
2,-1,1,1.0,1.0,-1,-1,0.2,0.05,0.035998,0.816415
2,-1,1,0.05,0.05,-1,-1,0.25,0.05,0.009065,0.894364
2,-1,1,0.1,0.1,-1,-1,0.25,0.05,0.015933,0.847121
2,-1,1,0.15,0.15,-1,-1,0.25,0.05,0.021364,0.820672
2,-1,1,0.2,0.2,-1,-1,0.25,0.05,0.025285,0.802603
2,-1,1,0.25,0.25,-1,-1,0.25,0.05,0.029377,0.788571
2,-1,1,0.3,0.3,-1,-1,0.25,0.05,0.032664,0.780798
2,-1,1,0.35,0.35,-1,-1,0.25,0.05,0.035002,0.773126
2,-1,1,0.4,0.4,-1,-1,0.25,0.05,0.037681,0.767574
2,-1,1,0.45,0.45,-1,-1,0.25,0.05,0.039654,0.762729
2,-1,1,0.5,0.5,-1,-1,0.25,0.05,0.041944,0.759599
2,-1,1,0.55,0.55,-1,-1,0.25,0.05,0.043648,0.756773
2,-1,1,0.6,0.6,-1,-1,0.25,0.05,0.045426,0.755158
2,-1,1,0.65,0.65,-1,-1,0.25,0.05,0.047131,0.754249
2,-1,1,0.7,0.7,-1,-1,0.25,0.05,0.048349,0.752735
2,-1,1,0.75,0.75,-1,-1,0.25,0.05,0.049786,0.751826
2,-1,1,0.8,0.8,-1,-1,0.25,0.05,0.05076,0.750211
2,-1,1,0.85,0.85,-1,-1,0.25,0.05,0.052026,0.749505
2,-1,1,0.9,0.9,-1,-1,0.25,0.05,0.053171,0.749101
2,-1,1,0.95,0.95,-1,-1,0.25,0.05,0.054851,0.748697
2,-1,1,1.0,1.0,-1,-1,0.25,0.05,0.058602,0.748596
2,-1,1,0.05,0.05,-1,-1,0.3,0.05,0.014414,0.862997
2,-1,1,0.1,0.1,-1,-1,0.3,0.05,0.025531,0.7989
2,-1,1,0.15,0.15,-1,-1,0.3,0.05,0.034323,0.763016
2,-1,1,0.2,0.2,-1,-1,0.3,0.05,0.04067,0.738501
2,-1,1,0.25,0.25,-1,-1,0.3,0.05,0.047293,0.719463
2,-1,1,0.3,0.3,-1,-1,0.3,0.05,0.052615,0.708917
