sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
2,-1,1,0.05,0.05,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.1,0.1,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.15,0.15,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.2,0.2,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.25,0.25,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.3,0.3,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.35,0.35,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.4,0.4,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.45,0.45,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.5,0.5,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.55,0.55,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.6,0.6,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.65,0.65,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.7,0.7,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.75,0.75,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.8,0.8,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.85,0.85,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.9,0.9,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.95,0.95,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,1.0,1.0,-1,-1,0.05,0.05,0.0,0.964286
2,-1,1,0.05,0.05,-1,-1,0.1,0.05,0.0,0.947449
2,-1,1,0.1,0.1,-1,-1,0.1,0.05,0.0,0.942347
2,-1,1,0.15,0.15,-1,-1,0.1,0.05,0.0,0.938775
2,-1,1,0.2,0.2,-1,-1,0.1,0.05,0.0,0.935969
2,-1,1,0.25,0.25,-1,-1,0.1,0.05,0.0,0.934438
2,-1,1,0.3,0.3,-1,-1,0.1,0.05,0.0,0.933418
2,-1,1,0.35,0.35,-1,-1,0.1,0.05,0.0,0.932142
2,-1,1,0.4,0.4,-1,-1,0.1,0.05,0.0,0.931122
2,-1,1,0.45,0.45,-1,-1,0.1,0.05,0.0,0.930357
2,-1,1,0.5,0.5,-1,-1,0.1,0.05,0.0,0.930102
2,-1,1,0.55,0.55,-1,-1,0.1,0.05,0.0,0.929591
2,-1,1,0.6,0.6,-1,-1,0.1,0.05,0.0,0.929591
2,-1,1,0.65,0.65,-1,-1,0.1,0.05,0.0,0.929591
2,-1,1,0.7,0.7,-1,-1,0.1,0.05,0.0,0.929336
2,-1,1,0.75,0.75,-1,-1,0.1,0.05,0.0,0.928826
2,-1,1,0.8,0.8,-1,-1,0.1,0.05,0.0,0.928826
2,-1,1,0.85,0.85,-1,-1,0.1,0.05,0.0,0.928571
2,-1,1,0.9,0.9,-1,-1,0.1,0.05,0.0,0.928571
2,-1,1,0.95,0.95,-1,-1,0.1,0.05,0.0,0.928571
2,-1,1,1.0,1.0,-1,-1,0.1,0.05,0.0,0.928571
2,-1,1,0.05,0.05,-1,-1,0.15,0.05,0.0,0.896939
2,-1,1,0.1,0.1,-1,-1,0.15,0.05,0.0,0.876531
