sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,2,1,-1,-1,0.05,0.05,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.1,0.1,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.15,0.15,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.2,0.2,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.25,0.25,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.3,0.3,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.35,0.35,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.4,0.4,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.45,0.45,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.5,0.5,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.55,0.55,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.6,0.6,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.65,0.65,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.7,0.7,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.75,0.75,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.8,0.8,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.85,0.85,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.9,0.9,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.95,0.95,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,1.0,1.0,0.05,0.05,0.000419,0.982289
-1,2,1,-1,-1,0.05,0.05,0.1,0.05,0.00049,0.976939
-1,2,1,-1,-1,0.1,0.1,0.1,0.05,0.000602,0.973261
-1,2,1,-1,-1,0.15,0.15,0.1,0.05,0.000713,0.970377
-1,2,1,-1,-1,0.2,0.2,0.1,0.05,0.000846,0.967284
-1,2,1,-1,-1,0.25,0.25,0.1,0.05,0.00098,0.964463
-1,2,1,-1,-1,0.3,0.3,0.1,0.05,0.001111,0.96162
-1,2,1,-1,-1,0.35,0.35,0.1,0.05,0.001277,0.958883
-1,2,1,-1,-1,0.4,0.4,0.1,0.05,0.001466,0.95602
-1,2,1,-1,-1,0.45,0.45,0.1,0.05,0.001735,0.952989
-1,2,1,-1,-1,0.5,0.5,0.1,0.05,0.002027,0.950273
-1,2,1,-1,-1,0.55,0.55,0.1,0.05,0.002259,0.94835
-1,2,1,-1,-1,0.6,0.6,0.1,0.05,0.00249,0.946469
-1,2,1,-1,-1,0.65,0.65,0.1,0.05,0.002717,0.94463
-1,2,1,-1,-1,0.7,0.7,0.1,0.05,0.003005,0.942854
-1,2,1,-1,-1,0.75,0.75,0.1,0.05,0.003251,0.941328
-1,2,1,-1,-1,0.8,0.8,0.1,0.05,0.003552,0.939781
-1,2,1,-1,-1,0.85,0.85,0.1,0.05,0.003821,0.938381
-1,2,1,-1,-1,0.9,0.9,0.1,0.05,0.004105,0.937253
-1,2,1,-1,-1,0.95,0.95,0.1,0.05,0.00445,0.936082
-1,2,1,-1,-1,1.0,1.0,0.1,0.05,0.005442,0.933909
-1,2,1,-1,-1,0.05,0.05,0.15,0.05,0.000669,0.970681
-1,2,1,-1,-1,0.1,0.1,0.15,0.05,0.001059,0.962701
-1,2,1,-1,-1,0.15,0.15,0.15,0.05,0.001449,0.956444
-1,2,1,-1,-1,0.2,0.2,0.15,0.05,0.001913,0.949733
-1,2,1,-1,-1,0.25,0.25,0.15,0.05,0.002384,0.943612
-1,2,1,-1,-1,0.3,0.3,0.15,0.05,0.00284,0.937446
-1,2,1,-1,-1,0.35,0.35,0.15,0.05,0.003421,0.931506
-1,2,1,-1,-1,0.4,0.4,0.15,0.05,0.004084,0.925294
-1,2,1,-1,-1,0.45,0.45,0.15,0.05,0.005026,0.918719
-1,2,1,-1,-1,0.5,0.5,0.15,0.05,0.006048,0.912825
-1,2,1,-1,-1,0.55,0.55,0.15,0.05,0.006858,0.908653
-1,2,1,-1,-1,0.6,0.6,0.15,0.05,0.007667,0.904573
-1,2,1,-1,-1,0.65,0.65,0.15,0.05,0.008462,0.900582
-1,2,1,-1,-1,0.7,0.7,0.15,0.05,0.00947,0.896728
-1,2,1,-1,-1,0.75,0.75,0.15,0.05,0.010331,0.893418
-1,2,1,-1,-1,0.8,0.8,0.15,0.05,0.011384,0.890063
-1,2,1,-1,-1,0.85,0.85,0.15,0.05,0.012325,0.887025
-1,2,1,-1,-1,0.9,0.9,0.15,0.05,0.013319,0.884577
-1,2,1,-1,-1,0.95,0.95,0.15,0.05,0.014526,0.882038
-1,2,1,-1,-1,1.0,1.0,0.15,0.05,0.017999,0.877322
-1,2,1,-1,-1,0.05,0.05,0.2,0.05,0.000925,0.963946
-1,2,1,-1,-1,0.1,0.1,0.2,0.05,0.001715,0.951335
-1,2,1,-1,-1,0.15,0.15,0.2,0.05,0.002504,0.941448
-1,2,1,-1,-1,0.2,0.2,0.2,0.05,0.003442,0.930843
-1,2,1,-1,-1,0.25,0.25,0.2,0.05,0.004395,0.92117
-1,2,1,-1,-1,0.3,0.3,0.2,0.05,0.005319,0.911425
-1,2,1,-1,-1,0.35,0.35,0.2,0.05,0.006495,0.902039
-1,2,1,-1,-1,0.4,0.4,0.2,0.05,0.007836,0.892223
-1,2,1,-1,-1,0.45,0.45,0.2,0.05,0.009742,0.881833
-1,2,1,-1,-1,0.5,0.5,0.2,0.05,0.011812,0.872518
-1,2,1,-1,-1,0.55,0.55,0.2,0.05,0.01345,0.865926
-1,2,1,-1,-1,0.6,0.6,0.2,0.05,0.015088,0.859478
-1,2,1,-1,-1,0.65,0.65,0.2,0.05,0.016697,0.853172
-1,2,1,-1,-1,0.7,0.7,0.2,0.05,0.018737,0.847082
-1,2,1,-1,-1,0.75,0.75,0.2,0.05,0.02048,0.841851
-1,2,1,-1,-1,0.8,0.8,0.2,0.05,0.022609,0.836549
-1,2,1,-1,-1,0.85,0.85,0.2,0.05,0.024516,0.831749
-1,2,1,-1,-1,0.9,0.9,0.2,0.05,0.026526,0.827879
-1,2,1,-1,-1,0.95,0.95,0.2,0.05,0.028969,0.823867
-1,2,1,-1,-1,1.0,1.0,0.2,0.05,0.035998,0.816415
-1,2,1,-1,-1,0.05,0.05,0.25,0.05,0.001247,0.956447
-1,2,1,-1,-1,0.1,0.1,0.25,0.05,0.002538,0.93868
-1,2,1,-1,-1,0.15,0.15,0.25,0.05,0.003829,0.924749
-1,2,1,-1,-1,0.2,0.2,0.25,0.05,0.005363,0.909809
-1,2,1,-1,-1,0.25,0.25,0.25,0.05,0.006922,0.896181
-1,2,1,-1,-1,0.3,0.3,0.25,0.05,0.008432,0.882452
-1,2,1,-1,-1,0.35,0.35,0.25,0.05,0.010356,0.869228
-1,2,1,-1,-1,0.4,0.4,0.25,0.05,0.012548,0.855398
-1,2,1,-1,-1,0.45,0.45,0.25,0.05,0.015665,0.840761
-1,2,1,-1,-1,0.5,0.5,0.25,0.05,0.01905,0.827638
-1,2,1,-1,-1,0.55,0.55,0.25,0.05,0.021729,0.818351
-1,2,1,-1,-1,0.6,0.6,0.25,0.05,0.024408,0.809265
-1,2,1,-1,-1,0.65,0.65,0.25,0.05,0.027039,0.800382
-1,2,1,-1,-1,0.7,0.7,0.25,0.05,0.030375,0.791801
-1,2,1,-1,-1,0.75,0.75,0.25,0.05,0.033225,0.784432
-1,2,1,-1,-1,0.8,0.8,0.25,0.05,0.036707,0.776962
-1,2,1,-1,-1,0.85,0.85,0.25,0.05,0.039825,0.770199
-1,2,1,-1,-1,0.9,0.9,0.25,0.05,0.043113,0.764747
-1,2,1,-1,-1,0.95,0.95,0.25,0.05,0.047107,0.759094
-1,2,1,-1,-1,1.0,1.0,0.25,0.05,0.058602,0.748596
-1,2,1,-1,-1,0.05,0.05,0.3,0.05,0.001759,0.947227
-1,2,1,-1,-1,0.1,0.1,0.3,0.05,0.003849,0.923122
-1,2,1,-1,-1,0.15,0.15,0.3,0.05,0.005938,0.904222
-1,2,1,-1,-1,0.2,0.2,0.3,0.05,0.008422,0.883952
-1,2,1,-1,-1,0.25,0.25,0.3,0.05,0.010945,0.865462
-1,2,1,-1,-1,0.3,0.3,0.3,0.05,0.013389,0.846836
-1,2,1,-1,-1,0.35,0.35,0.3,0.05,0.016504,0.828894
-1,2,1,-1,-1,0.4,0.4,0.3,0.05,0.020052,0.81013
-1,2,1,-1,-1,0.45,0.45,0.3,0.05,0.025098,0.790271
-1,2,1,-1,-1,0.5,0.5,0.3,0.05,0.030577,0.772467
-1,2,1,-1,-1,0.55,0.55,0.3,0.05,0.034914,0.759866
-1,2,1,-1,-1,0.6,0.6,0.3,0.05,0.03925,0.74754
-1,2,1,-1,-1,0.65,0.65,0.3,0.05,0.043508,0.735487
-1,2,1,-1,-1,0.7,0.7,0.3,0.05,0.048909,0.723846
-1,2,1,-1,-1,0.75,0.75,0.3,0.05,0.053521,0.713848
-1,2,1,-1,-1,0.8,0.8,0.3,0.05,0.059159,0.703713
-1,2,1,-1,-1,0.85,0.85,0.3,0.05,0.064205,0.694537
-1,2,1,-1,-1,0.9,0.9,0.3,0.05,0.069527,0.68714
-1,2,1,-1,-1,0.95,0.95,0.3,0.05,0.075992,0.679471
-1,2,1,-1,-1,1.0,1.0,0.3,0.05,0.0946,0.665227
-1,2,1,-1,-1,0.05,0.05,0.35,0.05,0.002421,0.938629
-1,2,1,-1,-1,0.1,0.1,0.35,0.05,0.005541,0.908613
-1,2,1,-1,-1,0.15,0.15,0.35,0.05,0.008661,0.885077
