sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR,FRR
-1,2,1,-1,-1,0.05,0.05,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.1,0.1,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.15,0.15,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.2,0.2,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.25,0.25,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.3,0.3,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.35,0.35,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.4,0.4,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.45,0.45,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.5,0.5,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.55,0.55,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.6,0.6,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.65,0.65,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.7,0.7,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.75,0.75,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.8,0.8,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.85,0.85,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.9,0.9,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.95,0.95,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,1.0,1.0,0.05,0.05,0.0,0.964286
-1,2,1,-1,-1,0.05,0.05,0.1,0.05,0.0,0.958163
-1,2,1,-1,-1,0.1,0.1,0.1,0.05,0.0,0.955357
-1,2,1,-1,-1,0.15,0.15,0.1,0.05,0.0,0.951786
-1,2,1,-1,-1,0.2,0.2,0.1,0.05,0.0,0.947959
-1,2,1,-1,-1,0.25,0.25,0.1,0.05,0.0,0.945153
-1,2,1,-1,-1,0.3,0.3,0.1,0.05,0.0,0.944133
-1,2,1,-1,-1,0.35,0.35,0.1,0.05,0.0,0.942347
-1,2,1,-1,-1,0.4,0.4,0.1,0.05,0.0,0.93903
-1,2,1,-1,-1,0.45,0.45,0.1,0.05,0.0,0.937245
-1,2,1,-1,-1,0.5,0.5,0.1,0.05,0.0,0.934949
-1,2,1,-1,-1,0.55,0.55,0.1,0.05,0.0,0.933418
-1,2,1,-1,-1,0.6,0.6,0.1,0.05,0.0,0.933163
-1,2,1,-1,-1,0.65,0.65,0.1,0.05,0.0,0.932142
-1,2,1,-1,-1,0.7,0.7,0.1,0.05,0.0,0.931632
-1,2,1,-1,-1,0.75,0.75,0.1,0.05,0.0,0.930867
-1,2,1,-1,-1,0.8,0.8,0.1,0.05,0.0,0.930357
-1,2,1,-1,-1,0.85,0.85,0.1,0.05,0.0,0.930102
-1,2,1,-1,-1,0.9,0.9,0.1,0.05,0.0,0.929081
-1,2,1,-1,-1,0.95,0.95,0.1,0.05,0.0,0.928826
-1,2,1,-1,-1,1.0,1.0,0.1,0.05,0.0,0.928571
-1,2,1,-1,-1,0.05,0.05,0.15,0.05,0.0,0.939796
-1,2,1,-1,-1,0.1,0.1,0.15,0.05,0.0,0.928572
-1,2,1,-1,-1,0.15,0.15,0.15,0.05,0.0,0.914286
-1,2,1,-1,-1,0.2,0.2,0.15,0.05,0.0,0.89898
-1,2,1,-1,-1,0.25,0.25,0.15,0.05,0.0,0.887756
-1,2,1,-1,-1,0.3,0.3,0.15,0.05,0.0,0.883674
-1,2,1,-1,-1,0.35,0.35,0.15,0.05,0.0,0.876531
-1,2,1,-1,-1,0.4,0.4,0.15,0.05,0.0,0.863266
-1,2,1,-1,-1,0.45,0.45,0.15,0.05,0.0,0.856123
-1,2,1,-1,-1,0.5,0.5,0.15,0.05,0.0,0.846939
-1,2,1,-1,-1,0.55,0.55,0.15,0.05,0.0,0.840817
-1,2,1,-1,-1,0.6,0.6,0.15,0.05,0.0,0.839796
-1,2,1,-1,-1,0.65,0.65,0.15,0.05,0.0,0.835715
-1,2,1,-1,-1,0.7,0.7,0.15,0.05,0.0,0.833674
-1,2,1,-1,-1,0.75,0.75,0.15,0.05,0.0,0.830613
-1,2,1,-1,-1,0.8,0.8,0.15,0.05,0.0,0.828572
-1,2,1,-1,-1,0.85,0.85,0.15,0.05,0.0,0.827551
-1,2,1,-1,-1,0.9,0.9,0.15,0.05,0.0,0.82347
-1,2,1,-1,-1,0.95,0.95,0.15,0.05,0.0,0.822449
-1,2,1,-1,-1,1.0,1.0,0.15,0.05,0.0,0.821429
-1,2,1,-1,-1,0.05,0.05,0.2,0.05,0.0,0.926327
-1,2,1,-1,-1,0.1,0.1,0.2,0.05,0.0,0.908929
-1,2,1,-1,-1,0.15,0.15,0.2,0.05,0.0,0.886786
-1,2,1,-1,-1,0.2,0.2,0.2,0.05,0.0,0.863061
-1,2,1,-1,-1,0.25,0.25,0.2,0.05,0.0,0.845663
-1,2,1,-1,-1,0.3,0.3,0.2,0.05,0.0,0.839337
-1,2,1,-1,-1,0.35,0.35,0.2,0.05,0.0,0.828265
-1,2,1,-1,-1,0.4,0.4,0.2,0.05,0.0,0.807704
-1,2,1,-1,-1,0.45,0.45,0.2,0.05,0.0,0.796633
-1,2,1,-1,-1,0.5,0.5,0.2,0.05,0.0,0.782398
-1,2,1,-1,-1,0.55,0.55,0.2,0.05,0.0,0.772908
-1,2,1,-1,-1,0.6,0.6,0.2,0.05,0.0,0.771326
